D = 4;
n = [ 2 2 2 1 ];

N = 18;
d = [ 1 1 1 1 2 2 2 3 3 3 3 3 3 4 4 4 4 4 ];

m = [
[ 1.00 0.90 0.95 0.20 0.45 0.75 0.70 0.30 0.05 1.00 0.80 0.45 1.00 0.30 0.75 0.85 0.20 0.65 ]
[ 0.90 1.00 0.40 0.75 0.75 0.05 0.55 0.25 0.05 0.70 0.30 0.30 0.90 0.60 0.30 0.30 0.55 0.10 ]
[ 0.95 0.40 1.00 0.00 0.95 0.15 0.80 0.25 0.25 0.75 0.00 0.80 0.70 0.75 0.55 0.35 0.00 0.55 ]
[ 0.20 0.75 0.00 1.00 0.45 0.05 0.30 0.25 0.20 0.25 1.00 0.55 0.25 0.60 0.65 0.90 0.30 0.30 ]
[ 0.45 0.75 0.95 0.45 1.00 0.15 0.65 0.15 0.70 0.65 0.80 0.25 0.20 0.45 0.45 0.25 0.35 0.35 ]
[ 0.75 0.05 0.15 0.05 0.15 1.00 0.90 0.75 0.85 0.90 0.10 0.00 0.00 0.35 1.00 0.95 0.70 1.00 ]
[ 0.70 0.55 0.80 0.30 0.65 0.90 1.00 0.05 0.05 0.60 0.80 0.75 0.55 0.15 0.80 0.10 1.00 0.50 ]
[ 0.30 0.25 0.25 0.25 0.15 0.75 0.05 1.00 0.30 0.50 0.25 0.05 0.35 0.30 0.25 0.50 0.00 0.70 ]
[ 0.05 0.05 0.25 0.20 0.70 0.85 0.05 0.30 1.00 0.50 1.00 0.80 0.35 0.35 0.25 0.30 0.05 0.75 ]
[ 1.00 0.70 0.75 0.25 0.65 0.90 0.60 0.50 0.50 1.00 0.50 0.65 0.35 0.15 0.05 0.95 0.15 0.35 ]
[ 0.80 0.30 0.00 1.00 0.80 0.10 0.80 0.25 1.00 0.50 1.00 0.15 0.75 0.65 0.95 0.10 0.30 0.80 ]
[ 0.45 0.30 0.80 0.55 0.25 0.00 0.75 0.05 0.80 0.65 0.15 1.00 0.15 0.70 0.80 1.00 0.50 0.70 ]
[ 1.00 0.90 0.70 0.25 0.20 0.00 0.55 0.35 0.35 0.35 0.75 0.15 1.00 0.20 0.10 0.60 0.45 0.85 ]
[ 0.30 0.60 0.75 0.60 0.45 0.35 0.15 0.30 0.35 0.15 0.65 0.70 0.20 1.00 0.80 0.90 0.95 0.00 ]
[ 0.75 0.30 0.55 0.65 0.45 1.00 0.80 0.25 0.25 0.05 0.95 0.80 0.10 0.80 1.00 0.55 0.05 0.90 ]
[ 0.85 0.30 0.35 0.90 0.25 0.95 0.10 0.50 0.30 0.95 0.10 1.00 0.60 0.90 0.55 1.00 0.80 0.80 ]
[ 0.20 0.55 0.00 0.30 0.35 0.70 1.00 0.00 0.05 0.15 0.30 0.50 0.45 0.95 0.05 0.80 1.00 0.45 ]
[ 0.65 0.10 0.55 0.30 0.35 1.00 0.50 0.70 0.75 0.35 0.80 0.70 0.85 0.00 0.90 0.80 0.45 1.00 ]
];
