D = 2;
n = [ 1 1 ];
N = 13;
d = [1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.58 0.29 0.96 0.82 0.20 0.52 0.30 0.07 0.77 0.14 0.84 0.04 ]
[0.58 1.00 0.14 0.54 0.23 0.47 0.26 0.30 0.29 0.88 0.25 0.31 0.49 ]
[0.29 0.14 1.00 0.31 0.25 0.11 0.13 0.38 0.23 0.23 0.49 0.29 0.30 ]
[0.96 0.54 0.31 1.00 0.23 0.04 0.92 0.91 0.56 0.54 0.27 0.79 0.15 ]
[0.82 0.23 0.25 0.23 1.00 0.65 0.29 0.26 0.15 0.04 0.43 0.27 0.19 ]
[0.20 0.47 0.11 0.04 0.65 1.00 0.07 0.87 0.46 0.06 0.35 0.09 0.73 ]
[0.52 0.26 0.13 0.92 0.29 0.07 1.00 0.94 0.09 0.84 0.48 0.40 0.14 ]
[0.30 0.30 0.38 0.91 0.26 0.87 0.94 1.00 0.00 0.70 0.87 0.95 0.97 ]
[0.07 0.29 0.23 0.56 0.15 0.46 0.09 0.00 1.00 0.78 0.65 0.17 0.62 ]
[0.77 0.88 0.23 0.54 0.04 0.06 0.84 0.70 0.78 1.00 0.95 0.67 0.48 ]
[0.14 0.25 0.49 0.27 0.43 0.35 0.48 0.87 0.65 0.95 1.00 0.06 0.23 ]
[0.84 0.31 0.29 0.79 0.27 0.09 0.40 0.95 0.17 0.67 0.06 1.00 0.14 ]
[0.04 0.49 0.30 0.15 0.19 0.73 0.14 0.97 0.62 0.48 0.23 0.14 1.00 ]
];
