D = 2;
n = [ 1 1 ];
N = 60;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.60 0.48 0.57 0.90 0.43 0.97 0.50 0.80 0.84 0.06 0.84 0.91 0.84 0.02 0.02 0.34 0.81 0.39 0.89 0.02 0.46 0.55 0.16 0.37 0.53 0.83 0.46 0.95 0.04 0.98 0.02 0.42 0.27 0.89 0.31 0.79 0.89 0.72 0.72 0.73 0.37 0.39 0.72 0.23 0.81 0.32 0.55 0.71 0.13 0.05 0.48 0.99 0.78 0.85 0.84 0.85 0.37 0.58 0.06 ]
[0.60 1.00 0.98 0.24 0.44 0.70 0.29 0.63 0.09 0.19 0.87 0.56 0.05 0.91 0.77 0.08 0.62 0.51 0.86 0.87 0.18 0.31 0.34 0.36 0.19 0.25 0.30 0.71 0.36 0.98 0.43 0.86 0.83 0.62 0.36 0.56 0.04 0.55 0.43 0.07 0.73 0.21 0.61 0.33 0.81 0.42 0.69 0.06 0.08 0.32 0.08 0.58 0.29 0.49 0.51 0.27 0.62 0.58 0.74 0.04 ]
[0.48 0.98 1.00 0.27 0.91 0.90 0.06 0.45 0.28 0.31 0.98 0.24 0.61 0.61 0.54 0.58 0.97 0.67 0.53 0.68 0.04 0.77 0.93 0.62 0.65 0.39 0.45 0.76 0.71 0.85 0.23 0.49 0.77 0.67 0.62 0.61 0.97 0.24 0.62 0.67 0.25 0.16 0.28 0.78 0.59 0.82 0.16 0.30 0.02 0.63 0.75 0.15 0.11 0.19 0.46 0.45 0.98 0.21 0.26 0.61 ]
[0.57 0.24 0.27 1.00 0.23 0.17 0.83 0.25 0.44 0.77 0.87 0.30 0.33 0.22 0.37 0.87 0.45 0.91 0.62 0.31 0.52 0.13 0.75 0.43 0.18 0.88 0.32 0.21 0.69 0.93 0.82 0.60 0.89 0.63 0.62 0.77 0.30 0.42 0.86 0.04 1.00 0.11 0.84 0.34 0.28 0.99 0.00 0.61 0.94 0.29 0.44 0.09 0.81 0.05 0.96 0.80 0.13 0.24 0.14 0.38 ]
[0.90 0.44 0.91 0.23 1.00 0.02 0.72 0.25 0.87 0.08 0.23 0.72 0.27 0.65 0.78 0.26 0.09 0.56 0.46 0.82 0.83 0.96 0.84 0.34 0.71 0.78 0.83 0.90 0.39 0.24 0.08 0.07 0.75 0.30 0.66 0.11 0.91 0.88 0.98 0.15 0.87 0.79 0.10 0.36 0.50 0.22 0.34 0.57 0.67 0.96 0.33 0.74 0.22 0.98 0.39 0.37 0.04 0.67 0.75 0.65 ]
[0.43 0.70 0.90 0.17 0.02 1.00 0.41 0.68 0.70 0.40 0.70 0.62 0.47 0.54 0.66 0.55 0.50 0.60 0.45 0.93 0.48 0.93 0.14 0.39 0.92 0.84 0.81 0.05 0.05 0.01 0.40 0.57 0.43 0.76 0.53 0.57 0.05 0.32 0.89 0.12 0.82 0.26 0.43 0.06 0.78 0.52 0.71 0.06 0.80 0.43 0.98 0.52 0.79 0.48 0.82 0.03 0.64 0.44 0.99 0.77 ]
[0.97 0.29 0.06 0.83 0.72 0.41 1.00 0.87 0.98 0.38 0.25 0.59 0.43 0.84 0.71 0.80 0.46 0.60 0.18 0.16 0.17 0.46 0.60 0.61 0.28 0.17 0.39 0.11 0.22 0.92 0.16 0.81 0.61 0.54 0.97 0.97 0.58 0.51 0.70 0.73 0.73 0.28 0.24 0.30 0.99 0.15 0.26 0.94 0.86 0.95 0.18 0.99 0.01 0.92 0.20 0.98 0.34 0.41 0.83 0.16 ]
[0.50 0.63 0.45 0.25 0.25 0.68 0.87 1.00 0.63 0.08 0.17 0.12 0.26 0.55 0.18 0.12 0.92 0.93 0.65 0.12 0.80 0.55 0.27 0.27 0.66 0.14 0.15 0.99 0.13 0.68 0.45 0.97 0.13 0.16 0.14 0.72 0.65 1.00 0.78 0.02 0.89 0.78 0.19 0.70 0.27 0.55 0.40 0.77 0.02 0.24 0.08 0.28 0.22 0.58 0.62 0.40 0.63 0.01 0.86 0.15 ]
[0.80 0.09 0.28 0.44 0.87 0.70 0.98 0.63 1.00 0.38 0.76 0.53 0.21 0.62 0.74 0.32 0.16 0.55 0.04 0.03 0.52 0.83 0.82 0.67 0.47 0.06 0.61 0.27 0.71 0.77 0.80 0.97 0.83 0.81 0.32 0.75 0.46 0.73 0.71 0.77 0.42 0.32 0.14 0.12 0.59 0.19 0.25 0.25 0.31 0.76 0.70 0.59 0.92 0.86 0.37 0.12 0.59 0.68 0.22 0.88 ]
[0.84 0.19 0.31 0.77 0.08 0.40 0.38 0.08 0.38 1.00 0.81 0.95 0.32 0.82 0.49 0.76 0.14 0.13 0.07 0.98 0.19 0.15 0.93 0.66 0.17 0.92 0.10 0.09 0.28 0.36 0.69 0.26 0.36 0.28 1.00 0.04 0.46 0.48 0.54 0.07 0.34 0.05 0.48 0.26 0.87 0.86 0.19 0.69 0.99 0.65 0.63 0.55 0.20 0.65 0.89 0.08 0.18 0.69 0.95 0.47 ]
[0.06 0.87 0.98 0.87 0.23 0.70 0.25 0.17 0.76 0.81 1.00 0.16 0.13 0.09 0.06 0.88 0.55 0.26 0.24 0.36 0.39 0.57 0.05 0.61 0.57 0.71 0.38 0.48 0.84 0.38 0.83 0.58 0.99 0.34 0.90 0.40 0.30 0.28 0.57 0.99 0.95 0.88 0.94 0.35 0.28 0.93 0.10 0.34 0.12 0.77 0.20 0.48 0.32 0.59 0.94 0.15 0.41 0.39 0.53 0.39 ]
[0.84 0.56 0.24 0.30 0.72 0.62 0.59 0.12 0.53 0.95 0.16 1.00 0.37 0.62 0.33 0.16 0.33 0.09 0.53 0.91 0.71 0.49 0.83 0.20 0.01 0.83 0.16 0.77 0.49 0.76 0.91 0.67 0.90 0.25 0.93 0.17 0.46 0.33 0.73 0.45 0.45 0.96 0.84 0.31 0.07 0.71 0.84 0.01 0.60 0.19 0.95 0.73 0.88 0.95 0.11 0.31 0.55 0.83 0.15 0.40 ]
[0.91 0.05 0.61 0.33 0.27 0.47 0.43 0.26 0.21 0.32 0.13 0.37 1.00 0.11 0.42 0.97 0.73 0.45 0.12 0.19 0.35 0.37 0.68 0.37 0.85 0.81 0.27 0.78 0.58 0.57 0.89 0.30 0.72 0.84 0.34 0.48 0.03 0.48 0.52 0.91 0.36 0.15 0.51 0.66 0.63 0.88 0.63 0.44 0.90 0.04 0.27 0.91 0.87 0.50 0.45 0.42 0.38 0.74 0.18 0.28 ]
[0.84 0.91 0.61 0.22 0.65 0.54 0.84 0.55 0.62 0.82 0.09 0.62 0.11 1.00 0.13 0.06 0.41 0.96 0.72 0.36 0.18 0.77 0.65 0.00 0.52 0.81 0.61 0.86 0.92 0.02 0.72 0.42 0.93 0.75 0.83 0.60 0.79 0.46 0.81 0.22 0.86 0.87 0.95 0.92 0.30 0.21 0.31 0.38 0.55 0.25 0.37 0.60 0.91 0.15 0.58 0.29 0.31 0.03 0.42 0.29 ]
[0.02 0.77 0.54 0.37 0.78 0.66 0.71 0.18 0.74 0.49 0.06 0.33 0.42 0.13 1.00 0.92 0.95 0.54 0.03 0.79 0.38 0.66 0.40 0.62 0.87 0.24 0.27 0.51 0.89 0.40 0.81 0.45 0.10 0.41 0.91 0.22 0.88 0.98 0.60 0.60 0.88 0.96 0.42 0.86 0.17 0.16 0.73 0.51 0.90 0.97 0.67 0.23 0.05 0.98 0.52 0.61 0.73 0.05 0.94 0.52 ]
[0.02 0.08 0.58 0.87 0.26 0.55 0.80 0.12 0.32 0.76 0.88 0.16 0.97 0.06 0.92 1.00 0.40 0.16 0.49 0.80 0.52 0.12 0.01 0.76 0.14 0.53 0.69 0.28 0.61 0.55 0.35 0.02 0.25 0.96 0.55 0.34 0.96 0.82 0.43 0.57 0.95 0.38 0.01 0.84 0.25 0.91 0.46 0.37 0.42 0.20 0.88 0.70 0.94 0.34 0.35 0.20 0.00 0.24 0.33 0.50 ]
[0.34 0.62 0.97 0.45 0.09 0.50 0.46 0.92 0.16 0.14 0.55 0.33 0.73 0.41 0.95 0.40 1.00 0.21 0.67 0.97 0.29 0.33 0.21 0.83 0.15 0.39 0.47 0.47 0.20 0.50 0.46 0.89 0.19 0.99 0.21 0.67 0.46 0.88 0.97 0.69 0.04 0.80 0.97 0.36 0.02 0.48 0.48 0.79 0.40 0.01 0.97 0.29 0.12 0.35 0.04 0.64 0.34 0.26 0.25 0.11 ]
[0.81 0.51 0.67 0.91 0.56 0.60 0.60 0.93 0.55 0.13 0.26 0.09 0.45 0.96 0.54 0.16 0.21 1.00 0.06 0.33 0.78 0.49 0.91 0.15 0.75 0.14 0.21 0.52 0.82 0.30 0.22 0.22 0.62 0.72 0.30 0.68 0.58 0.38 0.39 0.62 0.51 0.80 0.70 0.92 0.48 0.50 0.54 0.48 0.66 0.07 0.92 0.69 0.50 0.62 0.67 0.45 0.97 0.48 0.26 0.63 ]
[0.39 0.86 0.53 0.62 0.46 0.45 0.18 0.65 0.04 0.07 0.24 0.53 0.12 0.72 0.03 0.49 0.67 0.06 1.00 0.36 0.29 0.03 0.90 0.54 0.82 0.56 0.23 0.91 0.39 0.41 0.12 0.13 0.44 0.82 0.45 0.79 0.43 0.38 0.34 0.76 0.01 0.32 0.39 0.24 0.51 0.60 0.86 0.30 0.80 0.01 0.55 0.11 0.15 0.18 0.33 0.20 0.72 0.63 0.32 0.25 ]
[0.89 0.87 0.68 0.31 0.82 0.93 0.16 0.12 0.03 0.98 0.36 0.91 0.19 0.36 0.79 0.80 0.97 0.33 0.36 1.00 0.59 0.17 0.02 0.30 1.00 0.53 0.94 0.81 0.75 0.87 0.15 0.85 0.65 0.66 0.12 0.80 0.79 0.27 0.50 0.89 0.57 0.87 0.01 0.69 0.75 0.81 0.27 0.07 0.96 0.05 0.78 0.04 0.92 0.95 0.53 0.57 0.91 0.10 0.04 0.95 ]
[0.02 0.18 0.04 0.52 0.83 0.48 0.17 0.80 0.52 0.19 0.39 0.71 0.35 0.18 0.38 0.52 0.29 0.78 0.29 0.59 1.00 0.28 0.08 0.94 0.81 0.12 0.92 0.03 0.62 0.17 0.85 0.03 0.17 0.42 0.79 0.96 0.99 0.90 0.37 0.57 0.59 0.69 0.44 0.49 0.31 0.17 0.79 0.81 0.29 0.32 0.11 0.34 0.55 0.38 0.56 0.93 0.67 0.29 0.83 0.08 ]
[0.46 0.31 0.77 0.13 0.96 0.93 0.46 0.55 0.83 0.15 0.57 0.49 0.37 0.77 0.66 0.12 0.33 0.49 0.03 0.17 0.28 1.00 0.56 0.29 0.75 0.28 0.24 0.12 0.23 0.29 0.27 0.14 0.33 0.76 0.77 0.92 0.72 0.79 0.96 0.34 0.27 0.40 0.92 0.60 0.76 0.28 0.24 0.50 0.84 0.93 0.94 0.49 0.27 0.97 0.31 0.63 0.27 0.56 0.63 0.26 ]
[0.55 0.34 0.93 0.75 0.84 0.14 0.60 0.27 0.82 0.93 0.05 0.83 0.68 0.65 0.40 0.01 0.21 0.91 0.90 0.02 0.08 0.56 1.00 0.52 0.28 0.90 0.68 0.74 0.01 0.28 0.47 0.91 0.87 0.42 0.72 0.06 0.36 0.47 0.41 0.34 0.42 0.81 1.00 0.27 0.45 0.49 0.86 0.58 0.21 0.13 0.81 0.25 0.02 0.30 0.46 0.76 0.89 0.14 0.06 0.64 ]
[0.16 0.36 0.62 0.43 0.34 0.39 0.61 0.27 0.67 0.66 0.61 0.20 0.37 0.00 0.62 0.76 0.83 0.15 0.54 0.30 0.94 0.29 0.52 1.00 0.65 0.37 0.09 0.50 0.65 0.50 0.77 0.13 0.65 0.85 0.63 0.59 0.45 0.47 0.37 0.16 0.85 0.71 0.67 0.51 0.97 0.01 0.51 0.08 0.56 0.63 0.31 0.83 0.06 0.45 0.98 0.55 0.51 0.88 0.67 0.89 ]
[0.37 0.19 0.65 0.18 0.71 0.92 0.28 0.66 0.47 0.17 0.57 0.01 0.85 0.52 0.87 0.14 0.15 0.75 0.82 1.00 0.81 0.75 0.28 0.65 1.00 0.52 0.13 0.60 0.90 0.89 0.86 0.66 0.11 0.49 0.92 0.77 0.59 0.35 0.50 0.95 0.27 0.63 0.94 0.10 0.02 0.56 0.95 0.58 0.30 0.45 0.58 0.52 0.82 0.99 0.38 0.85 0.54 0.68 0.02 0.45 ]
[0.53 0.25 0.39 0.88 0.78 0.84 0.17 0.14 0.06 0.92 0.71 0.83 0.81 0.81 0.24 0.53 0.39 0.14 0.56 0.53 0.12 0.28 0.90 0.37 0.52 1.00 0.19 0.44 0.63 0.13 0.09 0.97 0.36 0.33 0.69 0.76 0.55 0.23 0.75 0.08 0.23 0.10 0.38 0.62 0.19 0.21 0.42 0.46 0.83 0.23 0.73 0.19 0.64 0.42 0.40 0.99 0.08 0.48 0.99 0.23 ]
[0.83 0.30 0.45 0.32 0.83 0.81 0.39 0.15 0.61 0.10 0.38 0.16 0.27 0.61 0.27 0.69 0.47 0.21 0.23 0.94 0.92 0.24 0.68 0.09 0.13 0.19 1.00 0.96 0.84 0.60 0.18 0.77 0.20 0.02 0.31 0.82 0.63 0.82 0.44 0.06 0.35 0.21 0.88 0.13 0.44 0.26 0.40 0.13 0.62 0.46 0.64 0.99 0.53 0.31 0.11 0.33 0.48 0.23 0.27 0.86 ]
[0.46 0.71 0.76 0.21 0.90 0.05 0.11 0.99 0.27 0.09 0.48 0.77 0.78 0.86 0.51 0.28 0.47 0.52 0.91 0.81 0.03 0.12 0.74 0.50 0.60 0.44 0.96 1.00 0.36 0.85 0.17 0.94 0.34 0.20 0.82 0.94 0.90 0.28 0.18 0.38 0.23 0.97 0.09 0.63 0.31 0.55 0.75 0.34 0.68 0.39 0.35 0.37 0.80 0.42 0.19 0.56 0.85 0.41 0.42 0.43 ]
