D = 2;
n = [ 3 3 ];
N = 85;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.93 0.93 0.88 0.21 0.17 0.09 0.27 0.76 0.62 0.61 0.52 0.40 0.38 0.20 0.51 0.88 0.78 0.48 0.18 0.02 0.35 0.58 0.44 0.93 0.66 0.20 0.90 0.49 0.41 0.78 0.02 0.06 0.06 0.76 0.98 0.75 0.09 0.70 0.63 0.47 0.89 0.49 0.77 0.85 0.52 0.25 0.12 0.95 0.26 0.67 0.99 0.10 0.40 0.22 0.01 0.64 0.94 0.11 0.47 0.43 0.55 0.12 0.24 0.71 0.23 0.38 0.44 0.54 0.09 0.78 0.09 0.22 0.19 0.70 0.52 0.32 0.43 0.61 0.22 0.25 0.27 0.28 0.21 0.12 ]
[0.93 1.00 0.97 0.68 0.88 0.52 0.29 0.91 0.80 0.35 0.37 0.96 0.88 0.01 0.52 0.68 0.35 0.62 0.32 0.21 0.76 0.91 0.31 0.32 0.68 0.88 0.29 0.05 0.73 0.82 0.41 0.80 0.81 0.73 0.50 0.35 0.26 0.55 0.01 0.26 0.03 0.28 0.92 0.42 0.34 0.65 0.27 0.16 0.16 0.37 0.14 0.71 0.96 0.31 0.67 0.37 0.97 0.73 1.00 0.83 0.11 0.57 0.76 0.72 0.59 0.28 0.92 0.48 0.46 0.24 0.32 0.57 0.17 0.78 0.44 0.33 0.01 0.78 0.70 0.95 0.35 0.99 0.92 0.58 0.34 ]
[0.93 0.97 1.00 0.09 0.14 0.42 0.61 0.38 0.77 0.85 0.87 0.58 0.97 0.27 0.97 0.77 0.74 0.54 0.86 0.45 0.45 0.36 0.12 0.08 0.30 0.42 0.62 0.02 0.54 0.08 0.15 0.64 0.06 0.22 0.49 0.48 0.40 0.68 0.37 0.57 0.10 0.95 0.12 0.38 0.17 0.51 0.90 0.12 0.64 0.90 1.00 0.27 0.20 0.36 0.44 0.90 0.89 0.90 0.74 0.03 0.55 0.94 0.24 0.26 0.50 0.46 0.18 0.06 0.70 0.80 0.09 0.80 0.06 0.84 0.40 0.34 0.12 0.59 0.15 0.31 0.32 0.58 0.82 0.19 0.39 ]
[0.88 0.68 0.09 1.00 0.27 0.91 1.00 0.00 0.49 0.16 0.21 0.06 0.22 0.15 0.41 0.28 0.19 0.33 0.23 0.27 0.90 0.11 0.11 0.32 0.82 0.45 0.72 0.14 0.64 0.76 0.80 0.35 0.74 0.92 0.81 0.00 0.16 0.30 0.63 0.42 0.83 0.96 0.54 0.99 0.10 0.91 0.98 0.94 0.29 0.08 0.65 0.47 0.57 0.72 0.44 0.35 0.50 0.16 0.28 0.74 0.75 0.99 0.33 0.22 0.08 0.37 0.74 0.12 0.52 0.56 0.87 0.46 0.44 0.87 0.44 0.69 0.40 0.40 0.59 0.53 0.41 0.49 0.08 0.79 0.15 ]
[0.21 0.88 0.14 0.27 1.00 0.16 0.86 0.81 0.27 0.49 0.26 0.48 0.57 0.44 0.30 0.38 0.76 0.00 0.22 0.83 0.67 0.77 0.69 0.59 0.59 0.98 0.57 0.83 0.87 0.50 0.31 0.34 0.35 0.08 0.29 0.99 0.21 0.87 0.43 0.24 0.69 0.90 0.31 0.81 0.80 0.98 0.61 0.93 0.91 0.47 0.20 0.67 0.71 0.05 0.79 0.63 0.54 0.05 0.18 0.38 0.64 0.67 0.07 0.97 0.17 0.01 0.52 0.25 0.67 0.02 0.40 0.10 0.23 0.60 0.25 0.97 0.57 0.36 0.47 0.31 0.13 0.15 0.93 0.80 0.51 ]
[0.17 0.52 0.42 0.91 0.16 1.00 0.10 0.75 0.07 0.75 0.95 0.02 0.08 0.86 0.40 0.80 0.37 0.24 0.94 0.90 0.45 0.58 0.59 0.14 0.59 0.93 0.94 0.84 0.65 0.01 0.41 0.02 0.25 0.07 0.57 0.22 0.33 0.93 0.92 0.54 0.48 0.84 0.77 0.25 0.79 0.40 0.67 0.25 0.24 0.93 0.76 0.23 0.88 0.06 0.05 0.74 0.38 0.97 0.05 0.97 0.58 0.24 0.51 0.89 0.00 0.95 0.58 0.06 0.32 0.76 0.15 0.64 0.70 0.97 0.83 0.35 0.77 0.41 0.66 0.65 0.15 0.51 0.30 0.68 0.94 ]
[0.09 0.29 0.61 1.00 0.86 0.10 1.00 0.89 0.50 0.12 0.59 0.50 0.20 0.76 0.31 0.61 0.99 0.99 0.54 0.96 0.74 0.01 0.66 0.56 0.20 0.18 0.63 0.90 0.99 0.05 0.47 0.98 0.40 0.31 0.82 0.13 0.67 0.29 0.03 0.10 0.35 0.92 0.09 0.42 0.70 0.84 0.45 0.13 0.13 0.44 0.38 0.91 0.40 0.97 0.68 0.07 0.32 0.54 0.76 0.75 0.51 0.07 0.92 1.00 0.04 0.92 0.82 0.70 0.93 0.08 0.38 0.02 0.66 0.20 0.79 0.42 0.87 0.73 0.83 0.38 0.06 0.37 0.93 0.75 0.75 ]
[0.27 0.91 0.38 0.00 0.81 0.75 0.89 1.00 0.69 0.38 0.85 0.46 0.95 0.32 0.20 0.14 0.58 0.42 0.87 0.33 0.78 0.76 0.06 0.83 0.23 0.65 0.67 0.98 0.72 0.94 0.37 0.14 0.24 0.44 0.66 0.42 0.19 0.92 0.50 0.69 0.90 0.83 0.65 0.91 0.44 0.50 0.01 0.62 0.61 0.15 0.39 0.76 0.44 0.78 0.28 0.68 0.60 0.39 0.82 0.62 0.26 0.11 0.01 0.56 0.88 0.21 0.75 0.91 0.29 0.94 0.79 0.01 0.29 0.75 0.47 0.33 0.77 0.69 0.38 0.86 0.82 0.67 0.99 0.25 0.97 ]
[0.76 0.80 0.77 0.49 0.27 0.07 0.50 0.69 1.00 0.55 0.63 0.05 0.30 0.56 0.51 0.51 0.06 0.33 0.09 0.45 0.68 0.96 0.46 0.68 0.25 0.59 0.02 0.38 0.91 0.05 0.91 0.97 0.48 0.95 1.00 0.49 0.05 0.90 0.29 0.11 0.91 0.15 0.37 0.88 0.29 0.18 0.34 0.83 0.54 0.27 0.32 0.10 0.86 0.70 0.79 0.94 0.15 0.73 0.34 0.67 0.31 0.12 0.93 0.89 0.35 0.33 0.38 0.96 0.94 0.46 0.27 0.07 0.25 0.88 0.45 0.04 0.12 0.46 0.18 0.93 0.55 0.05 0.17 0.48 0.83 ]
[0.62 0.35 0.85 0.16 0.49 0.75 0.12 0.38 0.55 1.00 0.20 0.05 0.65 0.34 0.25 0.19 0.93 0.66 0.12 0.92 0.30 0.89 0.90 0.95 0.07 0.89 0.98 0.67 0.44 0.52 0.73 0.40 0.35 0.80 0.14 0.13 0.81 0.08 0.84 0.48 0.32 0.59 0.11 0.52 0.61 0.95 0.87 0.65 0.89 0.65 0.32 0.26 0.75 0.87 0.22 0.43 0.28 0.72 0.22 0.32 0.01 0.67 0.00 0.08 0.06 0.22 0.25 0.29 0.65 0.86 0.26 0.79 0.52 0.85 0.65 0.62 0.70 0.70 0.43 0.63 1.00 0.39 0.07 0.30 0.51 ]
[0.61 0.37 0.87 0.21 0.26 0.95 0.59 0.85 0.63 0.20 1.00 0.96 0.61 0.90 0.75 0.68 0.79 0.05 0.67 0.72 0.22 0.14 0.63 0.87 0.12 0.15 0.49 0.82 0.71 0.20 0.63 0.65 0.12 0.08 0.44 0.77 0.67 0.86 0.66 0.66 0.90 0.33 0.78 0.90 0.24 0.33 0.14 0.32 0.89 0.87 0.17 0.64 0.79 0.65 0.38 0.04 0.87 0.21 0.13 0.50 0.55 0.90 0.42 0.36 0.06 0.32 0.12 0.76 0.54 0.76 0.01 0.80 0.10 0.83 0.80 0.78 0.64 0.28 0.45 0.34 0.87 0.57 0.33 0.17 0.56 ]
[0.52 0.96 0.58 0.06 0.48 0.02 0.50 0.46 0.05 0.05 0.96 1.00 0.53 0.12 0.53 0.99 0.29 0.70 0.17 0.97 0.64 0.83 0.91 0.63 0.15 0.88 0.16 0.07 0.23 0.86 0.47 0.83 0.71 0.09 0.85 0.39 0.16 0.61 0.92 0.31 0.25 0.80 0.52 0.10 0.75 0.71 0.49 0.79 0.01 0.15 0.23 0.22 0.10 0.95 0.69 0.48 0.86 0.87 0.71 0.51 0.68 0.93 1.00 0.30 0.28 0.65 0.50 0.90 0.58 0.91 0.31 0.09 0.46 0.41 0.39 0.76 0.12 0.78 0.86 0.87 0.84 0.82 0.70 0.06 0.64 ]
