D = 2;
n = [ 4 4 ];
N = 12;
d = [1 1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.56 0.15 0.84 0.03 0.92 0.61 0.77 0.68 0.26 0.22 0.80 ]
[0.56 1.00 0.36 0.01 0.69 0.80 0.22 0.04 0.32 0.48 0.65 0.23 ]
[0.15 0.36 1.00 0.30 0.26 0.30 0.56 0.15 0.27 0.35 0.77 0.32 ]
[0.84 0.01 0.30 1.00 0.53 0.69 0.55 0.68 0.82 0.73 0.71 0.55 ]
[0.03 0.69 0.26 0.53 1.00 0.59 0.06 0.08 0.57 0.14 0.28 0.24 ]
[0.92 0.80 0.30 0.69 0.59 1.00 0.76 0.50 0.37 0.54 0.08 0.02 ]
[0.61 0.22 0.56 0.55 0.06 0.76 1.00 0.63 0.16 0.49 0.27 0.27 ]
[0.77 0.04 0.15 0.68 0.08 0.50 0.63 1.00 0.68 0.08 0.89 0.67 ]
[0.68 0.32 0.27 0.82 0.57 0.37 0.16 0.68 1.00 0.36 0.81 0.48 ]
[0.26 0.48 0.35 0.73 0.14 0.54 0.49 0.08 0.36 1.00 0.69 0.27 ]
[0.22 0.65 0.77 0.71 0.28 0.08 0.27 0.89 0.81 0.69 1.00 0.12 ]
[0.80 0.23 0.32 0.55 0.24 0.02 0.27 0.67 0.48 0.27 0.12 1.00 ]
];
