D = 4;
n = [ 4 4 4 4 ];
N = 42;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.78 0.11 0.78 0.11 0.80 0.33 0.20 0.93 0.35 0.01 0.52 0.26 0.48 0.24 0.51 0.68 0.70 0.93 0.99 0.93 0.43 0.82 0.71 0.25 0.33 0.78 0.12 0.54 0.46 0.60 0.10 0.64 0.55 0.45 0.04 0.21 0.56 0.73 0.76 0.05 0.77 ]
[0.78 1.00 0.92 0.80 0.10 0.36 0.53 0.85 0.85 0.35 0.29 0.57 0.03 0.10 0.97 0.59 0.13 0.76 0.36 0.71 0.29 0.74 0.92 0.21 0.94 0.27 0.71 0.79 0.90 0.81 0.43 0.76 0.91 0.34 0.77 0.06 0.34 0.13 0.79 0.01 0.91 0.24 ]
[0.11 0.92 1.00 0.21 0.76 0.26 0.75 0.37 0.92 0.70 0.19 0.04 0.56 0.58 0.98 0.82 0.61 0.26 0.97 0.05 0.74 0.59 0.84 0.04 0.29 0.81 0.89 0.95 0.46 0.91 0.60 0.27 0.41 0.71 0.70 0.58 0.00 0.75 0.93 0.89 0.45 0.64 ]
[0.78 0.80 0.21 1.00 0.05 0.62 0.93 0.64 0.06 0.38 0.37 0.29 0.04 0.79 0.67 0.48 0.05 0.04 0.89 0.45 0.23 0.61 0.35 0.95 0.12 0.53 0.50 0.74 0.34 0.82 0.78 0.78 0.95 0.49 0.89 0.04 0.58 0.08 0.26 1.00 1.00 0.26 ]
[0.11 0.10 0.76 0.05 1.00 0.51 0.72 0.04 0.97 0.55 0.36 0.33 0.70 0.89 0.78 0.50 0.99 0.49 0.65 0.18 0.39 0.67 0.59 0.25 0.21 0.77 0.31 0.18 0.97 0.86 0.41 0.43 0.80 0.68 0.45 0.36 0.12 0.99 0.34 0.58 0.24 0.54 ]
[0.80 0.36 0.26 0.62 0.51 1.00 0.06 0.48 1.00 1.00 0.30 0.70 0.43 0.75 0.13 0.81 0.28 0.13 0.67 0.57 0.20 0.75 0.95 0.36 0.15 0.77 0.88 0.74 0.07 0.14 0.97 0.14 0.64 0.53 0.86 0.02 0.71 0.48 0.62 0.45 0.64 0.97 ]
[0.33 0.53 0.75 0.93 0.72 0.06 1.00 0.31 0.08 0.52 0.37 0.63 0.75 0.72 0.59 0.81 0.66 0.48 0.64 0.82 0.05 0.63 0.12 0.40 0.35 0.94 0.18 0.92 0.70 0.07 0.29 0.70 0.21 0.91 0.29 0.91 0.52 0.82 0.65 0.67 0.94 0.41 ]
[0.20 0.85 0.37 0.64 0.04 0.48 0.31 1.00 0.81 0.77 0.37 0.33 0.34 0.66 0.08 0.50 0.41 0.67 0.56 0.69 0.74 0.08 0.97 0.48 0.07 0.39 0.15 0.09 0.77 0.45 0.58 0.43 0.86 0.24 0.77 0.74 0.93 0.90 0.76 0.40 0.01 0.62 ]
[0.93 0.85 0.92 0.06 0.97 1.00 0.08 0.81 1.00 0.07 0.69 0.20 0.74 0.70 0.17 0.16 0.65 0.74 0.23 0.60 0.71 0.28 0.39 0.67 0.41 0.55 0.29 0.37 0.13 0.54 0.93 0.42 0.00 0.80 0.26 0.15 0.19 0.11 0.28 0.89 0.84 0.57 ]
[0.35 0.35 0.70 0.38 0.55 1.00 0.52 0.77 0.07 1.00 0.81 0.88 0.62 0.44 0.49 0.32 0.32 0.29 0.40 0.57 0.06 0.72 0.23 0.51 0.35 0.31 0.23 0.33 0.17 0.98 0.30 0.32 0.04 0.47 0.36 0.95 0.57 0.54 0.98 0.76 0.62 0.05 ]
