D = 4;
n = [ 5 5 5 5 ];
N = 53;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.74 0.99 0.55 0.80 0.37 0.76 0.69 0.20 0.13 0.07 0.78 0.70 0.36 0.84 0.80 0.85 0.53 0.17 0.38 0.91 0.07 0.46 0.32 0.94 0.60 0.91 0.12 0.87 0.06 0.52 0.09 0.64 0.33 0.63 0.95 0.02 0.48 0.91 0.55 0.16 0.50 0.74 0.95 0.11 0.82 0.97 0.21 0.27 0.65 0.19 0.66 0.39 ]
[0.74 1.00 0.06 0.87 0.22 0.54 0.71 0.63 0.11 0.66 0.28 0.58 0.52 0.17 0.26 0.47 0.50 0.87 0.64 0.69 0.73 0.28 0.17 0.06 0.41 0.99 0.73 0.07 0.42 0.10 0.80 0.96 0.73 0.47 0.47 0.85 0.31 0.08 0.98 0.88 0.31 0.47 0.44 0.46 0.14 0.55 0.32 0.08 0.63 0.32 0.08 0.91 0.67 ]
[0.99 0.06 1.00 0.80 0.18 1.00 0.53 0.90 0.94 0.27 0.26 0.21 0.93 0.85 0.49 0.58 0.33 0.11 0.13 0.14 0.51 0.28 0.12 0.21 0.51 0.79 0.67 0.23 0.58 0.14 0.66 0.43 0.60 0.37 0.37 0.13 0.34 0.34 0.83 0.64 0.89 0.83 0.71 0.14 0.85 0.08 0.20 0.63 0.39 0.38 0.03 0.50 0.98 ]
[0.55 0.87 0.80 1.00 0.98 0.43 0.89 0.94 0.40 0.40 0.17 0.35 0.93 0.25 0.42 0.72 0.88 0.19 0.37 0.73 0.41 0.06 0.01 0.57 0.94 0.87 0.07 0.47 0.33 0.09 0.70 0.11 0.06 0.95 0.17 0.03 0.58 0.87 0.89 0.25 0.91 0.76 0.93 0.50 0.27 0.02 0.21 0.43 0.57 0.28 0.88 0.33 0.02 ]
[0.80 0.22 0.18 0.98 1.00 0.62 0.72 0.56 0.33 0.57 0.95 0.57 0.53 0.01 0.11 0.62 0.50 0.11 0.39 0.59 0.85 0.36 0.28 0.04 0.19 0.64 0.75 0.43 0.82 0.93 0.65 0.18 0.12 0.46 0.52 0.91 0.52 0.72 0.00 0.55 0.55 0.24 0.43 0.04 0.38 0.49 0.03 0.13 0.19 0.12 0.42 0.09 0.62 ]
[0.37 0.54 1.00 0.43 0.62 1.00 0.91 0.79 0.98 0.28 0.24 0.32 0.97 0.19 0.90 0.63 0.69 0.18 0.03 0.14 0.66 0.24 0.97 0.09 0.60 0.53 0.79 0.40 0.35 0.91 0.52 0.68 0.81 0.96 0.50 0.92 0.39 0.68 0.77 0.49 0.57 0.61 0.67 0.55 0.61 0.06 0.22 0.26 0.41 0.03 0.34 0.71 0.53 ]
[0.76 0.71 0.53 0.89 0.72 0.91 1.00 0.68 0.30 0.59 0.76 0.96 0.85 0.18 0.06 0.75 0.63 0.99 0.13 0.75 0.37 0.02 0.77 0.52 0.13 0.82 0.12 0.04 0.49 0.69 0.18 0.71 0.83 0.78 0.65 0.06 0.97 0.94 0.28 0.30 0.41 0.13 0.90 0.22 0.37 0.31 0.01 0.65 0.60 0.47 0.59 0.09 0.93 ]
[0.69 0.63 0.90 0.94 0.56 0.79 0.68 1.00 0.46 0.18 0.43 0.05 0.80 0.80 0.04 0.19 0.68 0.65 0.52 0.96 0.54 0.46 0.88 0.79 0.08 0.61 0.01 0.11 0.42 0.16 0.76 0.33 0.09 0.56 0.39 0.45 0.47 0.83 0.70 0.72 0.08 0.08 0.13 0.22 0.15 0.01 0.32 0.77 0.72 0.23 0.04 0.01 0.08 ]
[0.20 0.11 0.94 0.40 0.33 0.98 0.30 0.46 1.00 0.51 0.75 0.59 0.04 0.20 0.58 0.17 0.06 0.10 0.07 0.49 0.02 0.19 0.30 0.85 0.95 0.75 0.93 0.54 0.73 0.64 0.37 0.58 0.83 0.23 0.53 0.52 0.36 0.65 0.01 0.00 0.24 0.66 0.50 0.38 0.65 1.00 0.48 0.36 0.47 0.58 0.53 0.25 0.28 ]
[0.13 0.66 0.27 0.40 0.57 0.28 0.59 0.18 0.51 1.00 0.40 0.08 0.35 0.36 0.65 0.68 0.84 0.99 0.22 0.01 0.51 0.17 0.78 0.35 0.41 0.81 0.60 0.19 0.08 0.39 0.36 0.53 0.06 0.65 1.00 0.33 0.86 0.81 0.55 0.72 0.68 0.18 0.24 0.62 0.02 0.73 0.43 0.34 0.77 0.07 0.82 0.27 0.22 ]
