D = 6;
n = [ 4 4 4 4 4 4 ];
N = 48;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.63 0.63 0.87 0.77 0.21 0.91 0.16 0.78 0.92 0.19 0.47 0.21 0.50 0.28 0.81 0.98 0.10 0.03 0.93 0.85 0.00 0.07 0.17 0.13 0.35 0.42 0.94 0.53 0.24 0.82 0.43 0.09 0.20 0.82 0.33 0.79 0.55 0.59 0.70 0.45 0.90 0.32 0.83 0.51 0.67 0.46 0.69 ]
[0.63 1.00 0.57 0.26 0.67 0.68 0.57 0.47 0.86 0.85 0.73 0.55 0.42 0.19 0.19 0.87 0.62 0.61 0.78 0.29 0.42 0.22 1.00 0.72 0.94 0.25 0.28 0.01 0.43 0.93 0.96 0.86 0.32 0.96 0.12 0.90 0.65 0.25 0.48 0.70 0.85 0.48 0.09 0.88 0.26 0.26 0.50 0.57 ]
[0.63 0.57 1.00 0.12 0.64 0.34 0.42 0.97 0.09 0.00 0.91 0.94 0.20 0.19 0.69 0.49 0.35 0.61 0.71 0.47 0.67 0.69 0.89 0.94 0.32 0.50 0.20 0.47 0.24 0.06 0.50 0.51 0.68 0.10 0.01 0.65 0.82 0.02 0.75 0.73 0.17 0.37 0.31 0.55 0.66 0.38 0.06 0.27 ]
[0.87 0.26 0.12 1.00 0.33 0.69 0.88 0.97 0.92 0.37 0.54 0.31 0.93 0.60 0.27 0.78 0.89 0.23 0.44 0.90 0.24 0.41 0.84 0.13 0.56 0.11 0.33 0.74 0.64 0.22 0.55 0.11 0.67 0.21 0.29 0.97 0.58 0.26 0.86 0.30 0.76 0.35 0.25 0.60 0.14 0.87 0.70 0.28 ]
[0.77 0.67 0.64 0.33 1.00 0.26 0.30 0.65 0.47 0.99 0.69 0.67 0.75 0.76 0.92 0.31 0.48 0.56 0.76 0.24 0.44 0.77 0.19 0.56 0.19 0.27 0.02 0.53 0.77 0.89 0.30 0.43 0.37 0.67 0.73 0.33 0.87 0.28 0.95 1.00 0.02 0.86 0.95 0.35 0.65 0.39 0.74 0.61 ]
[0.21 0.68 0.34 0.69 0.26 1.00 0.93 0.49 0.79 0.41 0.21 0.60 0.51 0.38 0.62 0.61 0.96 0.58 0.32 0.42 0.25 0.15 0.75 0.07 0.06 0.17 0.02 0.22 0.98 0.94 0.68 0.35 0.70 0.96 0.54 0.49 0.16 0.24 0.70 0.98 0.97 0.78 0.70 0.20 0.59 0.80 0.48 0.05 ]
[0.91 0.57 0.42 0.88 0.30 0.93 1.00 0.50 0.24 0.04 0.96 0.36 1.00 0.01 0.42 0.75 0.50 0.35 0.24 0.25 0.11 0.25 0.75 0.16 0.27 0.13 0.22 0.11 0.64 0.72 0.84 1.00 0.38 0.11 0.98 0.84 0.70 0.75 0.40 0.01 0.19 0.65 0.84 0.40 0.98 0.28 0.39 0.08 ]
[0.16 0.47 0.97 0.97 0.65 0.49 0.50 1.00 0.84 0.51 0.77 0.60 0.26 0.47 0.92 0.76 0.05 0.07 0.51 0.09 0.43 0.26 0.89 0.45 0.54 0.50 0.48 0.63 0.39 0.03 0.48 0.83 0.37 0.17 0.44 0.53 0.35 0.27 0.67 0.17 0.17 0.51 0.82 1.00 0.56 0.65 0.74 0.53 ]
[0.78 0.86 0.09 0.92 0.47 0.79 0.24 0.84 1.00 0.51 0.90 0.48 0.16 0.01 0.61 0.56 0.51 0.26 0.49 0.47 0.92 0.54 0.55 0.25 0.81 0.80 0.06 0.98 0.84 0.76 0.15 0.42 0.07 0.68 0.58 0.54 0.56 0.81 0.80 0.42 0.04 0.65 0.46 0.29 0.28 0.18 0.34 0.62 ]
[0.92 0.85 0.00 0.37 0.99 0.41 0.04 0.51 0.51 1.00 0.15 0.16 0.86 0.96 0.62 0.16 0.96 0.95 0.14 0.08 0.62 0.62 0.63 0.76 0.12 0.33 0.53 0.16 0.98 0.27 0.03 0.86 0.26 0.53 0.95 0.21 0.07 0.58 0.66 0.78 0.65 0.81 0.54 0.36 0.58 0.52 0.43 0.69 ]
[0.19 0.73 0.91 0.54 0.69 0.21 0.96 0.77 0.90 0.15 1.00 0.43 0.01 0.53 0.46 0.19 0.48 0.62 0.49 0.94 0.60 0.65 0.22 0.83 0.38 0.95 0.15 0.04 0.48 0.99 0.13 0.57 0.17 0.41 0.76 0.67 0.75 0.53 0.66 0.38 0.28 0.45 0.19 0.93 0.19 0.02 0.60 0.89 ]
[0.47 0.55 0.94 0.31 0.67 0.60 0.36 0.60 0.48 0.16 0.43 1.00 0.40 0.84 0.54 0.75 0.30 0.23 0.63 0.92 0.30 0.49 0.34 0.54 0.51 0.76 0.22 0.92 0.13 0.95 0.84 0.48 0.60 0.05 0.32 0.79 0.14 0.60 0.02 0.41 0.81 0.20 0.35 0.71 0.74 0.68 0.12 0.22 ]
[0.21 0.42 0.20 0.93 0.75 0.51 1.00 0.26 0.16 0.86 0.01 0.40 1.00 0.30 0.33 0.28 0.98 0.47 0.70 0.01 0.75 0.51 0.96 0.94 0.79 0.10 0.40 0.01 0.69 0.27 0.26 0.15 0.08 0.38 0.67 0.28 0.67 0.16 0.31 0.61 0.67 0.01 0.65 0.90 0.26 0.26 0.93 0.32 ]
[0.50 0.19 0.19 0.60 0.76 0.38 0.01 0.47 0.01 0.96 0.53 0.84 0.30 1.00 0.28 0.25 0.60 0.72 0.75 0.69 0.40 0.10 0.69 0.33 0.71 0.85 0.51 0.68 0.23 0.22 0.78 0.08 0.61 0.33 0.30 0.45 0.26 0.90 0.38 0.02 0.26 0.36 0.99 0.91 0.97 0.64 0.08 0.47 ]
[0.28 0.19 0.69 0.27 0.92 0.62 0.42 0.92 0.61 0.62 0.46 0.54 0.33 0.28 1.00 0.30 0.67 0.53 0.92 0.73 0.48 0.52 0.11 0.01 0.10 0.67 0.04 0.10 0.89 0.96 0.89 0.22 0.66 0.99 0.89 0.36 0.46 0.00 0.30 0.64 0.81 0.51 0.36 0.69 0.44 0.88 0.17 0.29 ]
[0.81 0.87 0.49 0.78 0.31 0.61 0.75 0.76 0.56 0.16 0.19 0.75 0.28 0.25 0.30 1.00 0.74 0.02 0.38 0.60 0.02 0.65 0.94 0.06 0.15 0.42 0.60 0.51 0.48 0.97 0.85 0.06 0.68 0.45 0.84 0.00 0.78 0.80 0.91 0.34 0.67 0.33 0.44 0.64 0.57 0.03 0.52 0.79 ]
[0.98 0.62 0.35 0.89 0.48 0.96 0.50 0.05 0.51 0.96 0.48 0.30 0.98 0.60 0.67 0.74 1.00 0.51 0.02 0.23 0.22 0.82 0.41 0.87 0.16 0.45 0.80 0.17 0.16 0.74 0.28 0.84 0.77 0.24 0.96 0.21 0.03 0.90 0.76 0.39 0.84 0.01 0.43 0.81 0.34 0.73 0.21 0.26 ]
[0.10 0.61 0.61 0.23 0.56 0.58 0.35 0.07 0.26 0.95 0.62 0.23 0.47 0.72 0.53 0.02 0.51 1.00 0.18 0.48 0.36 0.88 0.28 0.57 0.59 0.67 0.03 0.63 0.23 0.69 0.99 0.59 0.78 0.66 0.58 0.27 0.69 0.84 0.04 0.91 0.86 0.52 0.13 0.94 0.88 0.80 0.69 0.81 ]
[0.03 0.78 0.71 0.44 0.76 0.32 0.24 0.51 0.49 0.14 0.49 0.63 0.70 0.75 0.92 0.38 0.02 0.18 1.00 0.40 0.66 0.14 0.26 0.10 0.78 0.70 0.19 0.41 0.32 0.25 0.63 0.57 0.47 0.63 0.25 0.49 0.95 0.44 0.14 0.35 0.95 0.61 0.96 0.34 0.34 0.81 0.18 0.29 ]
[0.93 0.29 0.47 0.90 0.24 0.42 0.25 0.09 0.47 0.08 0.94 0.92 0.01 0.69 0.73 0.60 0.23 0.48 0.40 1.00 0.90 0.63 0.50 0.38 0.49 0.01 0.09 0.13 0.67 0.94 0.03 0.72 0.92 0.27 0.88 0.31 0.58 0.86 0.01 0.68 0.96 0.81 0.93 0.76 0.83 0.45 0.44 0.83 ]
[0.85 0.42 0.67 0.24 0.44 0.25 0.11 0.43 0.92 0.62 0.60 0.30 0.75 0.40 0.48 0.02 0.22 0.36 0.66 0.90 1.00 0.02 0.66 0.96 0.39 0.27 0.67 0.18 0.35 0.72 0.34 0.32 0.62 0.36 0.07 0.93 0.37 0.43 0.20 0.73 0.29 0.07 0.35 0.56 0.18 0.09 0.26 0.74 ]
[0.00 0.22 0.69 0.41 0.77 0.15 0.25 0.26 0.54 0.62 0.65 0.49 0.51 0.10 0.52 0.65 0.82 0.88 0.14 0.63 0.02 1.00 0.21 0.26 0.99 0.61 0.73 0.90 0.89 0.79 0.74 0.19 0.49 0.21 0.49 0.29 0.39 0.46 0.16 0.31 0.45 0.55 0.30 0.09 0.75 0.46 0.48 0.87 ]
[0.07 1.00 0.89 0.84 0.19 0.75 0.75 0.89 0.55 0.63 0.22 0.34 0.96 0.69 0.11 0.94 0.41 0.28 0.26 0.50 0.66 0.21 1.00 0.09 0.20 0.88 0.43 0.57 0.80 0.64 0.98 0.14 0.52 0.76 0.70 0.90 0.88 0.27 0.62 0.65 0.73 0.23 0.20 0.06 0.64 0.96 0.00 0.94 ]
[0.17 0.72 0.94 0.13 0.56 0.07 0.16 0.45 0.25 0.76 0.83 0.54 0.94 0.33 0.01 0.06 0.87 0.57 0.10 0.38 0.96 0.26 0.09 1.00 0.83 0.01 0.14 0.05 0.14 0.81 0.62 0.74 0.31 0.19 0.99 0.32 0.09 0.30 0.31 0.33 0.28 0.92 0.38 0.10 0.17 0.61 0.84 0.57 ]
[0.13 0.94 0.32 0.56 0.19 0.06 0.27 0.54 0.81 0.12 0.38 0.51 0.79 0.71 0.10 0.15 0.16 0.59 0.78 0.49 0.39 0.99 0.20 0.83 1.00 0.44 0.35 0.20 0.69 0.67 0.46 0.84 0.96 0.19 0.09 0.69 0.27 0.58 0.06 0.04 0.81 0.79 0.01 0.49 0.68 0.17 0.75 0.28 ]
[0.35 0.25 0.50 0.11 0.27 0.17 0.13 0.50 0.80 0.33 0.95 0.76 0.10 0.85 0.67 0.42 0.45 0.67 0.70 0.01 0.27 0.61 0.88 0.01 0.44 1.00 0.93 0.32 0.44 0.30 0.98 0.35 0.85 0.62 0.15 0.86 0.27 0.84 0.56 0.76 0.51 0.29 0.96 0.38 0.87 0.26 0.58 0.13 ]
[0.42 0.28 0.20 0.33 0.02 0.02 0.22 0.48 0.06 0.53 0.15 0.22 0.40 0.51 0.04 0.60 0.80 0.03 0.19 0.09 0.67 0.73 0.43 0.14 0.35 0.93 1.00 0.35 0.76 0.48 0.42 0.48 0.23 0.10 0.03 0.85 0.95 0.01 0.97 0.84 0.30 0.05 0.52 0.62 0.36 0.28 0.39 0.69 ]
[0.94 0.01 0.47 0.74 0.53 0.22 0.11 0.63 0.98 0.16 0.04 0.92 0.01 0.68 0.10 0.51 0.17 0.63 0.41 0.13 0.18 0.90 0.57 0.05 0.20 0.32 0.35 1.00 0.18 0.31 1.00 0.75 0.07 0.01 0.66 0.60 0.76 0.46 0.12 0.17 0.18 0.40 0.24 0.46 0.00 0.74 0.86 0.90 ]
[0.53 0.43 0.24 0.64 0.77 0.98 0.64 0.39 0.84 0.98 0.48 0.13 0.69 0.23 0.89 0.48 0.16 0.23 0.32 0.67 0.35 0.89 0.80 0.14 0.69 0.44 0.76 0.18 1.00 0.01 0.58 0.31 1.00 0.58 0.84 0.55 0.51 0.22 0.33 0.92 0.73 0.30 0.63 0.53 0.71 0.69 0.43 0.39 ]
[0.24 0.93 0.06 0.22 0.89 0.94 0.72 0.03 0.76 0.27 0.99 0.95 0.27 0.22 0.96 0.97 0.74 0.69 0.25 0.94 0.72 0.79 0.64 0.81 0.67 0.30 0.48 0.31 0.01 1.00 0.73 0.48 0.15 0.96 0.63 0.46 0.21 0.97 0.55 0.42 0.15 0.82 0.02 0.84 0.61 0.53 0.31 0.98 ]
[0.82 0.96 0.50 0.55 0.30 0.68 0.84 0.48 0.15 0.03 0.13 0.84 0.26 0.78 0.89 0.85 0.28 0.99 0.63 0.03 0.34 0.74 0.98 0.62 0.46 0.98 0.42 1.00 0.58 0.73 1.00 0.81 0.40 0.69 0.89 0.54 0.05 0.38 0.89 0.39 0.44 0.05 0.37 0.52 0.89 0.36 0.97 0.77 ]
[0.43 0.86 0.51 0.11 0.43 0.35 1.00 0.83 0.42 0.86 0.57 0.48 0.15 0.08 0.22 0.06 0.84 0.59 0.57 0.72 0.32 0.19 0.14 0.74 0.84 0.35 0.48 0.75 0.31 0.48 0.81 1.00 0.60 0.92 0.80 0.76 0.83 0.06 0.36 0.56 0.04 0.14 0.03 0.14 0.08 0.05 0.31 0.59 ]
[0.09 0.32 0.68 0.67 0.37 0.70 0.38 0.37 0.07 0.26 0.17 0.60 0.08 0.61 0.66 0.68 0.77 0.78 0.47 0.92 0.62 0.49 0.52 0.31 0.96 0.85 0.23 0.07 1.00 0.15 0.40 0.60 1.00 0.86 0.66 0.77 0.82 0.16 0.86 0.29 0.75 0.67 0.95 0.36 0.72 0.56 0.01 0.07 ]
[0.20 0.96 0.10 0.21 0.67 0.96 0.11 0.17 0.68 0.53 0.41 0.05 0.38 0.33 0.99 0.45 0.24 0.66 0.63 0.27 0.36 0.21 0.76 0.19 0.19 0.62 0.10 0.01 0.58 0.96 0.69 0.92 0.86 1.00 0.54 0.21 0.80 0.87 0.92 0.92 0.73 0.79 0.76 0.52 0.41 0.50 0.62 0.51 ]
[0.82 0.12 0.01 0.29 0.73 0.54 0.98 0.44 0.58 0.95 0.76 0.32 0.67 0.30 0.89 0.84 0.96 0.58 0.25 0.88 0.07 0.49 0.70 0.99 0.09 0.15 0.03 0.66 0.84 0.63 0.89 0.80 0.66 0.54 1.00 0.43 0.39 0.67 0.17 0.79 0.61 0.65 0.04 0.97 0.73 0.96 0.67 0.30 ]
