D = 6;
n = [ 4 4 4 4 4 4 ];
N = 86;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.50 0.60 0.90 0.04 0.86 0.16 0.98 0.11 0.92 0.04 0.70 0.86 0.67 0.89 0.87 0.95 0.50 0.04 0.29 0.88 0.48 0.51 0.33 0.73 0.17 0.07 0.53 0.40 0.25 0.68 0.50 0.47 0.55 0.82 0.08 0.38 0.61 0.23 0.53 0.96 0.85 0.97 0.36 0.15 0.93 0.30 0.52 0.89 0.87 0.25 0.81 0.05 0.83 0.42 0.43 0.33 0.88 0.59 0.59 0.34 0.52 0.66 0.21 0.59 0.54 0.96 0.60 0.22 0.88 0.47 0.87 0.64 0.72 0.26 0.47 0.96 0.44 0.26 0.37 0.69 0.48 0.54 0.93 0.37 0.50 ]
[0.50 1.00 0.68 0.61 0.68 0.88 0.85 0.94 0.66 0.98 0.24 0.67 0.22 0.45 0.64 0.43 0.70 0.89 0.64 0.98 0.97 0.08 0.99 0.59 1.00 0.50 0.99 0.83 0.28 0.95 0.76 0.10 0.79 0.65 0.52 0.77 0.26 0.23 0.33 0.80 0.14 0.28 0.49 0.69 0.64 0.37 0.67 0.99 0.55 0.43 0.73 0.94 0.11 0.46 0.57 0.07 0.05 0.34 0.09 0.97 0.80 0.13 0.02 0.08 0.13 0.86 0.12 0.69 0.16 0.85 0.35 0.68 0.64 0.08 0.50 0.45 0.30 0.04 0.46 0.73 0.44 0.65 0.16 0.94 0.35 0.34 ]
[0.60 0.68 1.00 0.53 0.96 0.07 0.21 0.25 0.76 0.52 0.87 0.25 0.02 0.32 0.64 0.49 0.09 0.91 0.84 0.47 0.52 0.38 0.89 0.62 0.55 0.16 0.67 0.71 0.51 0.14 0.62 0.02 0.83 0.69 0.11 0.53 0.08 0.77 0.94 0.73 0.39 0.49 0.92 0.45 0.75 0.68 0.72 0.88 0.11 0.23 0.96 0.98 0.09 0.80 0.13 0.51 0.36 0.71 0.77 0.59 0.83 0.13 0.84 0.14 0.06 0.23 0.45 0.88 0.62 0.27 0.49 0.30 0.49 0.41 0.45 0.18 0.15 0.78 0.56 0.94 0.37 0.58 0.35 0.43 0.58 0.41 ]
[0.90 0.61 0.53 1.00 0.78 0.12 0.88 0.17 0.14 0.70 0.24 0.35 0.15 0.99 0.89 0.90 0.47 0.66 0.31 0.14 0.83 0.86 0.94 0.80 0.32 0.66 0.01 0.34 0.09 0.75 0.73 0.80 0.23 0.75 0.33 0.56 0.86 0.44 0.19 0.51 0.99 0.53 0.41 0.95 0.39 0.78 0.52 0.49 0.97 0.13 0.24 0.35 0.37 0.86 0.99 0.41 0.74 0.32 0.30 0.82 0.91 0.33 0.52 0.81 0.41 0.18 0.80 0.61 0.29 0.80 0.25 0.61 0.80 0.22 0.63 0.19 0.34 0.77 0.37 0.01 0.87 0.79 0.65 0.72 0.57 0.62 ]
[0.04 0.68 0.96 0.78 1.00 0.49 0.07 0.90 0.39 0.69 0.81 0.87 0.66 0.68 0.93 0.75 0.72 0.13 0.53 0.26 0.65 0.90 0.51 0.10 0.73 0.39 0.55 1.00 0.60 0.19 0.85 0.67 0.16 0.79 0.66 0.71 0.89 0.14 0.55 0.73 0.64 0.33 0.59 0.43 0.88 0.30 0.16 0.63 0.98 0.83 0.97 0.85 0.55 0.03 0.40 0.34 0.68 0.18 0.91 0.80 0.11 0.46 0.10 0.15 0.92 0.64 0.22 0.41 0.45 0.33 0.99 0.76 0.43 0.66 0.64 0.44 0.19 0.86 0.21 0.67 0.58 0.68 0.46 0.18 0.06 0.23 ]
[0.86 0.88 0.07 0.12 0.49 1.00 0.92 0.75 0.15 0.01 0.84 0.06 0.19 0.22 0.76 0.42 0.35 0.83 0.86 0.97 0.11 0.63 0.84 0.18 0.49 0.96 0.24 0.55 0.73 0.59 0.41 0.78 0.81 0.88 0.69 0.27 0.71 0.59 0.47 0.49 0.24 0.98 0.31 0.94 0.57 0.59 0.88 0.08 0.03 0.72 0.99 0.28 0.93 0.02 0.30 0.70 0.61 0.76 0.57 0.03 0.21 0.47 0.72 0.52 0.86 0.80 0.65 0.14 0.05 0.57 0.92 0.24 0.41 0.64 0.12 0.96 0.14 0.01 0.67 0.62 0.98 0.87 0.41 0.87 0.29 0.36 ]
[0.16 0.85 0.21 0.88 0.07 0.92 1.00 0.86 0.64 0.25 0.07 0.10 0.49 0.89 0.69 0.60 0.42 0.95 0.95 0.92 0.09 0.96 0.80 0.80 0.88 0.21 0.06 0.57 0.37 0.39 0.92 0.48 0.47 0.68 0.52 0.28 0.70 0.32 0.98 0.56 0.96 0.53 0.71 0.41 0.90 0.12 0.83 0.78 0.86 0.38 0.41 0.59 0.22 0.02 0.88 0.37 0.63 0.34 0.46 0.86 0.03 0.46 0.86 0.19 0.52 0.24 0.72 0.37 0.21 0.67 0.49 0.04 0.07 0.99 0.96 0.97 0.74 0.77 0.84 0.78 0.54 0.09 0.90 0.34 0.69 0.41 ]
[0.98 0.94 0.25 0.17 0.90 0.75 0.86 1.00 0.07 0.10 0.96 0.98 0.40 0.94 0.92 0.84 0.25 0.23 0.53 0.34 0.26 0.98 0.80 0.03 0.41 0.14 0.23 0.27 0.38 0.46 0.32 0.62 0.10 0.97 0.21 0.53 0.43 0.80 0.24 0.56 0.35 0.56 0.28 0.59 0.48 0.92 0.16 0.52 0.00 0.38 0.86 0.53 0.17 0.26 0.07 0.35 0.80 0.94 0.53 0.85 0.25 0.59 0.35 0.61 0.72 0.39 0.52 0.13 0.81 0.62 0.86 0.00 0.43 0.13 0.51 0.09 0.13 0.08 0.07 0.15 0.77 0.06 0.01 0.87 0.15 0.44 ]
[0.11 0.66 0.76 0.14 0.39 0.15 0.64 0.07 1.00 0.70 0.95 0.73 0.28 0.34 0.60 0.65 0.21 0.11 0.29 0.74 0.85 0.18 0.27 0.59 0.18 0.04 0.45 0.01 0.35 0.81 0.60 0.00 0.89 0.11 0.28 0.71 0.83 0.18 0.85 0.16 0.05 0.05 0.95 0.57 0.34 0.36 0.93 0.27 0.83 0.94 0.84 0.91 0.64 0.55 0.74 0.32 0.07 0.77 0.63 0.87 0.01 0.83 0.28 0.99 0.12 0.66 0.81 0.42 0.65 0.66 0.78 0.29 0.68 0.71 0.91 0.87 0.92 0.27 0.80 0.26 0.51 0.17 0.76 0.51 0.56 0.30 ]
[0.92 0.98 0.52 0.70 0.69 0.01 0.25 0.10 0.70 1.00 0.60 0.54 0.86 0.31 0.82 0.29 0.74 0.61 0.91 0.22 0.44 0.51 0.13 0.38 0.80 0.88 0.51 0.53 0.65 0.32 0.13 0.84 0.80 0.30 0.71 0.16 0.38 0.09 0.58 0.33 0.68 0.26 0.82 0.28 0.14 0.14 0.54 0.82 0.12 0.22 0.93 0.33 0.10 0.15 0.41 0.62 0.05 0.84 0.48 0.65 0.15 0.26 0.27 0.95 0.75 0.12 0.07 0.81 0.12 0.44 0.46 0.93 0.95 0.04 0.20 1.00 0.14 0.36 0.07 0.48 0.40 0.06 0.44 0.14 0.42 0.06 ]
