D = 2;
n = [ 1 1 ];
N = 63;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.90 0.52 0.47 0.86 0.95 0.17 0.51 0.53 0.62 0.24 0.80 0.65 0.07 0.10 0.23 0.63 0.26 0.36 0.90 0.22 0.03 0.04 1.00 0.49 0.83 0.23 0.95 0.79 0.68 0.12 0.24 0.26 0.97 0.43 0.90 0.54 0.27 0.85 0.67 0.77 0.15 0.67 0.13 0.12 0.10 0.27 0.64 0.86 0.53 0.44 0.70 0.30 0.21 0.50 0.82 0.13 0.91 0.25 0.60 0.54 0.29 0.24 ]
[0.90 1.00 0.32 0.66 0.69 0.29 0.02 0.23 0.85 0.18 0.61 0.53 0.89 0.80 0.62 0.15 0.39 0.15 0.08 0.24 0.50 0.31 0.08 0.01 0.02 0.19 0.01 0.10 0.75 0.55 0.21 0.77 0.13 0.09 0.91 0.52 0.21 0.81 0.17 0.32 0.10 0.78 0.61 0.95 0.26 0.63 0.38 0.46 0.96 0.08 0.12 0.10 0.12 0.70 0.16 0.37 0.18 0.11 0.87 0.06 0.23 0.01 0.25 ]
[0.52 0.32 1.00 0.30 0.94 0.69 0.39 0.12 0.17 0.90 0.41 0.78 0.41 0.86 0.24 0.86 0.04 0.46 0.45 0.16 0.45 0.44 0.19 0.46 0.91 0.32 0.38 0.55 0.46 0.50 0.01 0.45 0.27 0.12 0.40 0.42 0.24 0.19 0.97 0.88 0.28 0.96 0.98 0.37 0.55 0.98 0.19 0.65 0.13 0.11 0.47 0.09 0.22 0.16 0.47 0.20 0.59 0.50 0.09 0.86 0.62 0.55 0.67 ]
[0.47 0.66 0.30 1.00 0.55 0.69 0.62 0.88 0.45 0.92 0.35 0.99 0.73 0.05 0.31 0.02 0.73 0.73 0.66 0.03 0.40 0.51 0.55 0.51 0.77 0.16 0.77 0.56 0.23 0.54 0.01 0.27 0.23 0.23 0.31 0.84 0.89 0.96 0.21 0.85 0.02 0.53 0.94 0.54 0.73 0.38 0.54 0.24 0.21 0.66 1.00 0.98 0.56 0.21 0.17 0.86 0.82 0.55 0.74 0.83 0.08 0.21 0.24 ]
[0.86 0.69 0.94 0.55 1.00 0.07 0.68 0.27 0.97 0.13 0.14 0.27 0.38 0.14 0.90 0.23 0.13 0.80 0.35 0.08 0.14 0.23 0.99 0.90 0.12 0.01 0.79 0.97 0.27 0.35 0.89 0.65 0.92 0.22 0.39 0.85 0.38 0.52 0.00 0.90 0.14 0.60 0.75 0.20 0.13 0.96 0.89 0.44 0.27 0.37 0.18 0.37 0.92 0.73 0.81 0.72 0.95 0.03 0.30 0.01 0.51 0.58 0.22 ]
[0.95 0.29 0.69 0.69 0.07 1.00 0.63 0.48 0.77 0.05 0.75 0.56 0.44 0.55 0.52 0.91 0.88 0.01 0.41 0.01 0.41 0.25 0.87 0.45 0.43 0.11 0.86 0.51 0.74 0.18 0.10 0.91 0.03 0.21 0.43 0.91 0.22 0.32 0.20 0.57 0.39 0.60 0.94 0.99 0.02 0.06 0.09 0.60 0.34 0.80 0.64 0.01 0.07 0.90 0.50 0.34 0.66 0.42 0.37 0.22 0.50 0.17 0.41 ]
[0.17 0.02 0.39 0.62 0.68 0.63 1.00 0.47 0.14 0.43 0.55 0.85 0.75 0.56 0.22 0.32 0.06 0.88 0.76 0.92 0.48 0.67 0.24 0.66 0.21 0.43 0.54 0.84 0.67 0.60 0.86 0.85 0.85 0.39 0.06 0.01 0.62 0.31 0.07 0.09 0.61 0.46 0.82 0.32 0.77 0.23 0.30 0.56 0.90 0.05 0.92 0.43 0.33 0.89 0.31 0.38 0.99 0.84 0.64 0.71 0.52 0.66 0.78 ]
[0.51 0.23 0.12 0.88 0.27 0.48 0.47 1.00 0.57 0.75 0.90 0.06 0.92 0.57 0.51 0.40 0.04 0.12 0.87 0.53 0.87 0.12 0.27 0.71 0.78 0.07 0.31 0.47 0.52 0.66 0.98 0.76 0.82 0.56 0.31 0.86 0.12 0.96 0.02 0.82 0.48 0.95 0.65 0.50 0.26 0.27 0.53 0.98 0.30 0.17 0.97 0.34 0.48 0.73 0.57 0.46 0.82 0.02 0.04 0.58 0.23 0.09 0.73 ]
[0.53 0.85 0.17 0.45 0.97 0.77 0.14 0.57 1.00 0.88 0.43 0.40 0.99 0.10 0.64 0.41 0.82 0.71 0.81 0.49 0.81 0.74 0.97 0.51 0.51 0.68 0.57 0.33 0.49 0.20 0.63 0.77 0.32 0.79 0.52 0.12 0.62 0.06 0.76 0.38 0.89 0.67 0.00 0.08 0.79 0.90 0.81 0.82 0.55 0.89 0.82 0.99 0.08 0.80 0.56 0.48 0.48 0.08 0.34 0.20 0.21 0.60 0.42 ]
[0.62 0.18 0.90 0.92 0.13 0.05 0.43 0.75 0.88 1.00 0.03 0.78 0.95 0.07 0.43 1.00 0.35 0.10 0.73 0.94 0.14 0.49 0.29 0.01 0.83 0.83 0.52 0.24 0.47 0.42 0.98 0.17 0.82 0.70 0.47 0.41 0.76 0.45 0.64 0.55 0.97 0.78 0.17 0.66 0.33 0.90 0.77 0.91 0.00 0.71 0.57 0.53 0.73 0.24 0.66 0.12 0.47 0.54 0.53 0.13 0.68 0.42 0.91 ]
[0.24 0.61 0.41 0.35 0.14 0.75 0.55 0.90 0.43 0.03 1.00 0.10 0.05 0.63 0.64 0.53 0.51 0.08 0.05 0.29 0.63 0.59 0.93 0.86 0.04 0.22 0.89 0.77 0.23 0.52 0.95 0.22 0.04 0.88 0.33 0.72 0.92 0.98 0.69 0.09 0.15 0.81 0.97 0.69 0.54 0.58 0.71 0.13 0.65 0.39 0.67 0.54 0.37 0.31 0.71 0.20 0.69 0.49 0.05 0.62 0.94 0.31 0.08 ]
[0.80 0.53 0.78 0.99 0.27 0.56 0.85 0.06 0.40 0.78 0.10 1.00 0.32 0.81 0.85 0.56 0.17 0.67 0.87 0.37 0.19 0.63 0.80 0.73 0.03 0.58 0.01 0.59 0.18 0.31 0.68 0.59 0.38 0.12 0.90 0.40 0.78 0.47 0.52 0.76 0.14 0.59 0.33 0.81 0.14 0.94 0.89 0.33 0.01 0.28 0.49 0.09 0.15 0.74 0.59 0.52 0.14 0.22 0.24 0.32 0.25 0.96 0.18 ]
[0.65 0.89 0.41 0.73 0.38 0.44 0.75 0.92 0.99 0.95 0.05 0.32 1.00 0.49 0.39 0.40 0.59 0.02 0.67 0.37 0.31 0.89 0.32 0.39 0.63 0.32 0.35 0.70 0.66 0.02 0.87 0.24 0.49 0.23 0.77 0.19 0.59 0.74 0.76 0.70 0.32 0.60 0.07 0.35 0.63 0.32 0.24 0.80 0.52 0.90 0.34 0.61 0.82 0.31 0.06 0.43 0.35 0.87 0.38 0.62 0.86 0.26 0.77 ]
[0.07 0.80 0.86 0.05 0.14 0.55 0.56 0.57 0.10 0.07 0.63 0.81 0.49 1.00 0.71 0.48 0.50 0.62 0.50 0.02 0.13 0.27 0.00 0.92 0.02 0.04 0.25 0.32 0.89 0.68 0.02 0.36 0.27 0.83 0.24 0.11 0.69 0.81 0.59 0.73 0.29 0.56 0.20 0.97 0.86 0.10 0.61 0.56 0.11 0.06 0.49 0.78 0.68 0.65 0.20 0.95 0.56 0.57 0.84 0.54 0.26 0.94 0.79 ]
[0.10 0.62 0.24 0.31 0.90 0.52 0.22 0.51 0.64 0.43 0.64 0.85 0.39 0.71 1.00 0.18 0.68 0.51 0.10 0.15 0.47 0.53 0.39 0.18 0.59 0.37 0.74 0.76 0.26 0.84 0.06 0.36 0.22 0.70 0.01 0.13 0.26 0.47 0.75 0.83 0.03 0.56 0.52 0.43 0.29 0.50 0.98 0.94 0.72 0.86 0.09 0.89 0.24 0.92 0.94 0.25 0.36 0.81 0.78 0.69 0.07 0.78 0.73 ]
[0.23 0.15 0.86 0.02 0.23 0.91 0.32 0.40 0.41 1.00 0.53 0.56 0.40 0.48 0.18 1.00 0.74 0.16 0.60 0.41 0.28 0.43 0.37 0.06 0.72 0.25 0.81 0.62 0.35 0.70 0.29 0.61 0.88 0.48 0.69 0.68 0.76 0.41 0.63 0.17 0.55 0.83 0.85 0.29 0.25 0.67 0.72 0.97 0.69 0.94 0.80 0.95 0.90 0.57 0.78 0.82 0.10 0.17 0.54 0.56 0.92 0.84 0.05 ]
[0.63 0.39 0.04 0.73 0.13 0.88 0.06 0.04 0.82 0.35 0.51 0.17 0.59 0.50 0.68 0.74 1.00 0.90 0.15 0.08 0.66 0.97 0.33 0.63 0.66 0.88 0.17 0.06 0.45 0.24 0.97 0.30 0.87 0.48 0.39 0.10 0.64 0.62 0.89 0.23 0.96 0.70 0.83 0.64 0.36 0.57 0.22 0.11 0.67 0.58 0.28 0.21 0.70 0.42 0.68 0.28 0.92 0.11 0.49 0.88 0.51 0.16 0.58 ]
[0.26 0.15 0.46 0.73 0.80 0.01 0.88 0.12 0.71 0.10 0.08 0.67 0.02 0.62 0.51 0.16 0.90 1.00 0.71 0.12 0.90 0.90 0.08 0.12 0.88 0.40 0.60 0.26 0.00 0.68 0.93 0.93 0.81 0.37 0.40 0.97 0.17 0.29 0.17 0.66 0.25 0.10 0.77 0.55 0.47 0.26 0.56 0.00 0.02 0.65 0.39 0.26 0.80 0.58 0.03 0.31 0.88 0.64 0.92 0.65 0.83 0.54 0.35 ]
[0.36 0.08 0.45 0.66 0.35 0.41 0.76 0.87 0.81 0.73 0.05 0.87 0.67 0.50 0.10 0.60 0.15 0.71 1.00 0.44 0.87 0.78 0.33 0.91 0.19 0.55 0.50 0.28 0.08 0.56 0.45 0.89 0.08 0.97 0.61 0.00 0.85 0.63 0.77 0.12 0.19 0.91 0.63 0.74 0.91 0.64 0.98 0.87 0.70 0.95 0.62 0.83 0.41 0.81 0.18 0.34 0.15 0.53 0.19 0.49 0.41 0.32 0.18 ]
[0.90 0.24 0.16 0.03 0.08 0.01 0.92 0.53 0.49 0.94 0.29 0.37 0.37 0.02 0.15 0.41 0.08 0.12 0.44 1.00 0.63 0.59 0.02 0.05 0.04 0.25 0.16 0.60 0.03 0.69 0.62 0.41 0.10 0.37 0.53 0.45 0.46 0.61 0.33 0.23 0.15 0.41 0.92 0.39 0.40 0.57 0.15 0.44 0.58 0.13 0.29 0.86 0.19 0.29 0.51 0.95 0.43 0.78 0.45 0.84 0.50 0.92 0.02 ]
[0.22 0.50 0.45 0.40 0.14 0.41 0.48 0.87 0.81 0.14 0.63 0.19 0.31 0.13 0.47 0.28 0.66 0.90 0.87 0.63 1.00 0.94 0.70 0.33 0.07 0.08 0.05 0.21 0.01 0.62 0.32 0.70 0.81 0.59 0.31 0.24 0.86 0.94 0.70 0.12 0.26 0.76 0.40 0.53 0.35 0.99 0.09 0.81 0.28 0.84 0.91 0.29 0.66 0.06 0.07 0.37 0.18 0.55 0.78 0.61 0.40 0.64 0.86 ]
[0.03 0.31 0.44 0.51 0.23 0.25 0.67 0.12 0.74 0.49 0.59 0.63 0.89 0.27 0.53 0.43 0.97 0.90 0.78 0.59 0.94 1.00 0.71 0.99 0.09 0.22 0.27 0.25 0.28 0.43 0.75 0.70 0.09 0.13 0.97 0.16 0.47 0.97 0.80 0.74 0.17 1.00 1.00 0.97 0.14 0.75 1.00 0.58 0.69 0.90 0.19 0.20 0.85 0.36 0.49 0.41 0.16 0.29 0.72 0.63 0.45 0.09 0.75 ]
[0.04 0.08 0.19 0.55 0.99 0.87 0.24 0.27 0.97 0.29 0.93 0.80 0.32 0.00 0.39 0.37 0.33 0.08 0.33 0.02 0.70 0.71 1.00 0.39 0.59 0.33 0.86 0.21 0.75 0.08 0.27 0.94 0.66 0.89 0.84 0.03 0.18 0.33 0.68 0.01 0.79 0.28 0.75 0.44 1.00 0.78 0.32 0.03 0.94 0.84 0.42 0.88 0.31 0.71 0.07 0.16 0.13 0.91 0.02 0.37 0.28 0.66 0.87 ]
[1.00 0.01 0.46 0.51 0.90 0.45 0.66 0.71 0.51 0.01 0.86 0.73 0.39 0.92 0.18 0.06 0.63 0.12 0.91 0.05 0.33 0.99 0.39 1.00 0.69 0.72 0.39 0.71 0.36 0.92 0.38 0.90 0.92 1.00 0.33 0.29 0.50 0.33 0.07 0.98 0.56 0.04 0.43 0.20 0.72 0.88 0.20 0.07 0.41 0.66 0.38 0.18 0.30 0.18 0.24 0.27 0.89 0.85 0.43 0.98 0.30 0.68 0.78 ]
[0.49 0.02 0.91 0.77 0.12 0.43 0.21 0.78 0.51 0.83 0.04 0.03 0.63 0.02 0.59 0.72 0.66 0.88 0.19 0.04 0.07 0.09 0.59 0.69 1.00 0.17 0.50 0.39 0.45 0.67 0.18 0.19 0.58 0.99 0.48 0.75 0.29 0.36 0.71 0.69 0.61 0.81 0.10 0.85 0.72 0.73 0.96 0.71 0.11 0.85 0.06 0.79 0.51 0.04 0.00 0.26 0.34 0.29 0.61 0.07 0.78 0.86 0.38 ]
[0.83 0.19 0.32 0.16 0.01 0.11 0.43 0.07 0.68 0.83 0.22 0.58 0.32 0.04 0.37 0.25 0.88 0.40 0.55 0.25 0.08 0.22 0.33 0.72 0.17 1.00 0.25 0.18 0.55 0.97 0.45 0.45 0.74 0.70 0.04 0.82 0.81 0.19 0.87 0.61 0.05 0.28 0.91 0.25 0.76 0.70 0.38 0.57 0.46 0.74 0.29 0.86 0.31 0.87 0.95 0.07 0.72 0.06 0.47 0.58 0.35 0.03 0.50 ]
[0.23 0.01 0.38 0.77 0.79 0.86 0.54 0.31 0.57 0.52 0.89 0.01 0.35 0.25 0.74 0.81 0.17 0.60 0.50 0.16 0.05 0.27 0.86 0.39 0.50 0.25 1.00 0.22 0.41 0.48 0.54 0.41 0.23 0.64 0.54 0.22 0.40 0.03 0.96 0.44 0.42 0.94 0.80 0.26 0.63 0.92 0.92 0.36 0.62 0.03 0.74 0.06 0.26 0.20 0.19 0.18 0.70 0.30 0.85 0.94 0.18 0.29 0.49 ]
[0.95 0.10 0.55 0.56 0.97 0.51 0.84 0.47 0.33 0.24 0.77 0.59 0.70 0.32 0.76 0.62 0.06 0.26 0.28 0.60 0.21 0.25 0.21 0.71 0.39 0.18 0.22 1.00 0.06 0.06 0.23 0.76 0.54 0.16 0.10 0.52 0.39 0.59 0.59 0.93 0.44 0.81 0.99 0.08 0.20 0.30 0.27 0.08 0.12 0.28 0.68 0.52 0.48 0.05 0.57 0.89 0.04 0.99 0.24 0.95 0.58 1.00 0.03 ]
[0.79 0.75 0.46 0.23 0.27 0.74 0.67 0.52 0.49 0.47 0.23 0.18 0.66 0.89 0.26 0.35 0.45 0.00 0.08 0.03 0.01 0.28 0.75 0.36 0.45 0.55 0.41 0.06 1.00 0.79 0.95 0.54 0.16 0.98 0.49 0.01 0.45 0.63 0.57 0.17 0.71 0.85 0.48 0.88 0.35 0.05 0.76 0.85 0.06 0.05 0.52 0.78 0.19 0.23 0.46 0.58 0.21 0.29 0.24 0.22 0.14 0.63 0.16 ]
