D = 2;
n = [ 2 2 ];
N = 70;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.14 0.90 0.67 0.62 0.11 0.55 0.16 0.39 0.81 0.78 0.17 0.27 0.43 0.10 0.99 0.28 0.91 0.62 0.93 0.23 0.78 0.46 0.56 0.85 0.56 0.93 0.29 0.10 0.25 0.49 0.04 0.25 0.97 0.23 0.41 0.59 0.96 0.44 0.38 0.20 0.37 0.32 0.89 0.17 0.47 0.85 0.79 0.93 0.27 0.18 0.78 0.52 0.99 0.86 0.66 0.60 0.88 0.83 0.28 0.12 0.15 0.76 0.77 0.27 0.66 0.11 0.06 0.07 0.49 ]
[0.14 1.00 0.21 0.12 0.43 0.60 0.74 0.70 0.31 0.46 0.86 0.58 0.85 0.34 0.39 0.79 0.74 0.40 0.25 0.92 0.88 0.99 0.49 0.89 0.48 0.37 0.67 0.17 0.80 0.77 0.70 0.87 0.56 0.90 0.15 0.01 0.42 0.98 0.52 0.58 0.36 0.62 0.65 0.39 0.45 0.38 0.88 0.14 0.26 0.51 0.29 0.08 0.75 0.53 0.09 0.56 0.25 0.90 0.38 0.87 0.22 0.95 0.02 0.20 0.39 0.14 0.97 0.90 0.10 0.06 ]
[0.90 0.21 1.00 0.03 0.52 0.61 0.88 0.64 0.13 0.46 0.20 0.74 0.35 0.87 0.68 0.33 0.91 0.53 0.15 0.95 0.20 0.61 0.72 0.28 0.77 0.98 0.80 0.29 0.72 0.40 0.56 0.89 0.12 0.32 0.38 0.33 0.17 0.31 0.05 0.01 0.72 0.78 0.17 0.98 0.43 0.96 0.37 0.58 0.30 0.43 0.19 0.60 0.62 1.00 0.95 0.08 0.37 0.11 0.88 0.50 0.26 0.88 0.46 0.13 0.61 0.33 0.28 0.19 0.24 0.97 ]
[0.67 0.12 0.03 1.00 0.64 0.05 0.04 0.88 0.64 0.30 0.28 0.85 0.48 0.18 0.56 0.89 0.13 0.53 0.83 0.50 0.34 0.31 0.75 0.24 0.85 0.48 0.74 0.84 0.76 0.43 0.34 0.87 0.82 0.73 0.01 0.49 0.07 0.89 0.14 0.77 0.91 0.37 0.00 0.02 0.77 0.33 0.59 0.77 0.94 0.57 0.01 0.10 0.05 0.69 0.61 0.35 0.28 0.28 0.36 0.49 0.91 0.24 0.97 0.30 0.17 0.71 0.09 0.42 0.19 0.97 ]
[0.62 0.43 0.52 0.64 1.00 0.49 0.43 0.77 0.22 0.57 0.88 0.92 0.94 0.08 0.36 0.74 0.28 0.38 0.19 0.74 0.10 0.24 0.06 0.54 0.11 0.29 0.74 0.50 0.55 0.78 0.99 0.41 0.74 0.07 0.61 0.26 0.35 0.90 0.30 0.35 0.43 0.54 0.62 0.27 0.54 0.63 0.66 0.33 0.67 0.86 0.02 0.45 0.29 0.75 0.07 0.19 0.92 0.58 0.49 0.87 0.24 0.94 0.26 0.12 0.25 0.52 0.93 0.43 0.01 0.35 ]
[0.11 0.60 0.61 0.05 0.49 1.00 0.51 0.32 0.11 0.91 0.78 0.79 0.15 0.79 0.61 0.32 0.63 0.58 0.74 0.56 0.17 0.05 0.98 0.57 0.27 0.50 0.74 0.57 0.20 1.00 0.24 0.28 0.56 0.68 0.84 0.62 0.49 0.27 0.77 0.99 0.00 0.23 0.44 0.59 0.46 0.63 0.43 0.25 0.84 0.83 0.81 0.69 0.37 0.54 0.16 0.68 0.62 0.96 0.37 0.90 0.92 0.68 0.95 0.52 0.71 0.80 0.61 0.59 0.09 0.63 ]
[0.55 0.74 0.88 0.04 0.43 0.51 1.00 0.79 0.86 0.49 0.93 0.11 0.87 0.82 0.39 0.60 0.27 0.75 0.19 0.50 0.88 0.39 0.02 0.68 0.66 0.52 0.75 0.68 0.02 0.49 0.94 0.10 0.32 0.50 0.26 0.10 0.02 0.09 0.76 0.59 0.16 0.17 0.26 0.40 0.95 0.54 0.01 0.62 0.29 0.80 0.62 0.80 0.03 0.84 0.66 0.75 0.58 0.07 0.25 0.17 0.23 0.66 0.48 0.08 0.50 0.82 0.78 0.66 0.90 0.49 ]
[0.16 0.70 0.64 0.88 0.77 0.32 0.79 1.00 0.64 0.26 0.28 1.00 1.00 0.43 0.06 0.97 0.83 0.84 0.31 0.89 0.57 0.70 0.95 0.55 0.19 0.83 0.08 0.16 0.86 0.83 0.89 0.31 0.96 0.24 0.31 0.55 0.84 0.04 0.83 0.87 0.19 0.33 0.10 0.43 0.24 0.80 0.96 0.51 0.68 0.55 0.70 0.22 0.44 0.33 0.44 0.15 0.62 0.47 0.47 0.98 0.24 0.88 0.54 0.72 0.54 0.39 0.73 0.53 0.18 0.96 ]
[0.39 0.31 0.13 0.64 0.22 0.11 0.86 0.64 1.00 0.79 0.63 0.71 0.86 0.78 0.64 0.87 0.89 0.81 0.01 0.01 0.13 0.67 0.69 0.91 0.64 0.36 0.18 0.94 0.88 0.74 0.22 0.66 0.99 0.95 0.00 0.12 0.62 0.55 0.01 0.02 0.73 0.17 0.80 0.72 0.16 0.79 0.34 0.71 0.19 0.92 0.49 0.99 0.98 0.08 0.32 0.69 0.68 0.71 0.72 0.91 0.81 0.06 0.34 0.76 0.68 0.58 0.94 0.83 0.93 0.60 ]
[0.81 0.46 0.46 0.30 0.57 0.91 0.49 0.26 0.79 1.00 0.47 0.49 0.95 0.93 0.58 0.58 0.32 0.58 0.65 0.55 0.01 0.63 0.67 0.98 0.53 0.06 0.78 0.54 0.23 0.65 0.87 0.66 0.22 0.61 0.55 0.98 0.37 0.26 0.34 0.89 0.88 0.17 0.22 0.83 0.71 0.15 0.03 0.77 0.92 0.73 0.50 0.81 0.92 0.67 0.26 0.49 0.47 0.77 0.03 0.44 0.66 0.08 0.69 0.24 0.89 0.52 0.09 0.30 0.11 0.84 ]
