D = 2;
n = [ 3 3 ];
N = 67;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.56 0.29 0.48 0.61 0.20 0.26 0.30 0.99 0.31 0.23 0.32 0.42 0.65 0.15 0.95 0.59 0.12 0.60 0.15 0.47 0.72 0.07 0.59 0.96 0.88 0.71 0.65 0.93 0.23 0.41 0.88 0.51 0.30 0.17 0.09 0.12 0.87 0.67 0.96 0.90 0.43 0.77 0.51 0.67 0.69 0.10 0.67 0.29 0.17 0.52 0.42 0.59 0.12 0.53 0.21 0.12 0.70 0.33 0.32 0.76 0.98 0.05 0.83 0.29 0.64 0.62 ]
[0.56 1.00 0.22 0.25 0.22 0.19 0.52 0.98 0.81 0.06 0.83 0.71 0.10 0.73 0.92 0.35 0.85 0.12 0.05 0.08 0.75 0.59 0.26 0.97 0.80 0.75 0.90 0.11 0.63 0.52 0.57 0.71 0.18 0.16 0.59 0.27 0.91 0.32 0.95 0.60 0.84 0.83 0.26 0.69 0.17 0.14 0.30 0.98 0.22 0.14 0.29 0.42 0.95 0.66 0.41 0.65 0.11 0.75 0.06 0.42 0.03 0.41 0.78 0.63 0.58 0.90 0.12 ]
[0.29 0.22 1.00 0.92 0.51 0.72 0.95 0.58 0.07 0.14 0.06 0.94 0.97 0.05 0.52 0.83 0.06 0.70 0.92 0.26 0.06 0.35 0.41 0.33 0.32 0.32 0.93 0.77 0.93 0.91 0.18 0.28 0.23 0.16 0.61 0.50 0.16 0.09 0.42 0.74 0.08 0.54 0.34 0.53 0.10 0.07 0.82 0.18 0.46 0.71 0.58 0.22 0.04 0.96 0.06 0.89 0.25 0.89 0.77 0.50 0.14 0.96 0.60 0.69 0.12 0.99 0.26 ]
[0.48 0.25 0.92 1.00 0.75 0.33 0.50 0.95 0.61 0.68 0.17 0.43 0.30 0.15 0.98 0.96 0.03 0.78 0.73 0.39 0.24 0.35 0.90 0.32 0.10 0.40 0.26 0.15 0.15 0.67 0.44 0.23 0.37 0.92 0.89 0.29 0.37 0.02 0.09 0.57 0.59 0.95 0.65 0.68 0.06 0.23 0.90 0.49 0.84 0.81 0.93 0.70 0.52 0.91 0.30 0.42 0.86 0.40 0.28 0.95 0.21 0.68 0.24 0.61 0.20 0.51 0.45 ]
[0.61 0.22 0.51 0.75 1.00 0.64 0.64 0.66 0.49 0.85 0.02 0.28 0.23 0.53 0.69 0.69 0.86 0.72 0.32 0.86 0.89 0.35 0.51 0.50 0.66 0.53 0.30 0.41 0.38 0.58 0.36 0.49 0.45 0.37 0.54 0.28 0.22 0.97 0.65 0.01 0.91 0.01 0.03 0.12 0.76 0.74 0.19 0.30 0.87 0.72 0.73 0.53 0.01 0.02 0.54 0.60 0.94 0.18 0.77 0.42 0.92 0.63 0.87 0.16 0.42 0.60 0.32 ]
[0.20 0.19 0.72 0.33 0.64 1.00 0.53 0.23 0.45 0.31 0.95 0.41 0.24 0.88 0.11 0.65 0.91 0.60 0.99 0.56 0.03 0.48 0.77 0.98 0.45 0.06 0.85 0.21 0.29 0.68 0.91 0.53 0.49 0.90 0.24 0.99 0.54 0.46 0.18 0.25 0.06 1.00 0.35 0.77 0.41 0.41 0.98 0.82 0.22 0.21 0.03 0.62 0.91 0.49 0.08 0.62 0.15 0.37 0.21 0.83 0.02 0.06 0.38 0.76 0.34 0.19 0.10 ]
[0.26 0.52 0.95 0.50 0.64 0.53 1.00 0.67 0.74 0.58 0.78 0.65 0.11 0.19 0.50 0.65 0.23 0.40 0.04 0.26 0.80 0.71 0.98 0.98 0.28 0.65 0.66 0.50 0.63 0.36 0.63 0.75 0.06 0.17 0.38 0.45 0.86 0.02 0.88 0.03 0.41 0.94 0.04 0.92 0.77 0.94 0.75 0.73 0.36 1.00 0.10 0.17 0.15 0.08 0.45 0.47 0.62 0.82 0.82 0.70 0.75 0.47 0.49 0.13 0.07 0.19 0.07 ]
[0.30 0.98 0.58 0.95 0.66 0.23 0.67 1.00 0.07 0.89 0.04 0.05 0.00 0.05 0.14 0.53 0.82 0.86 0.51 0.29 0.28 0.17 0.26 0.64 0.34 0.45 0.42 0.90 0.68 0.49 0.38 0.27 0.92 0.65 0.77 0.70 0.52 0.76 0.36 0.93 0.84 0.48 0.24 0.02 0.01 0.35 0.02 0.69 0.69 0.07 0.18 0.45 0.17 0.02 0.39 0.97 0.67 0.36 0.16 0.03 0.55 0.17 0.71 0.78 0.99 0.90 0.31 ]
[0.99 0.81 0.07 0.61 0.49 0.45 0.74 0.07 1.00 0.51 0.84 0.69 0.79 0.60 0.55 0.70 0.24 0.96 0.48 0.10 0.79 0.91 0.40 0.60 0.77 0.68 0.16 0.29 0.60 0.52 0.48 0.68 0.12 0.57 0.48 0.64 0.74 0.84 0.02 0.86 0.81 0.93 0.91 0.14 0.68 0.12 0.03 0.92 0.37 0.59 0.08 0.38 0.34 0.74 0.24 0.82 0.84 0.65 0.03 0.47 0.71 0.37 0.57 0.36 0.53 0.33 0.90 ]
[0.31 0.06 0.14 0.68 0.85 0.31 0.58 0.89 0.51 1.00 0.71 0.30 0.70 0.49 0.78 0.43 0.46 0.10 0.35 0.57 0.11 0.48 0.16 0.15 0.11 0.32 0.95 0.04 0.97 0.90 0.41 0.58 0.27 0.33 0.34 0.36 0.27 0.68 0.69 0.42 0.32 0.84 0.13 0.32 0.43 0.38 0.20 0.57 0.79 0.62 0.33 0.08 0.79 0.41 0.44 0.72 0.30 0.70 0.82 0.00 0.58 0.77 0.16 0.74 0.80 0.54 1.00 ]
[0.23 0.83 0.06 0.17 0.02 0.95 0.78 0.04 0.84 0.71 1.00 0.63 0.10 0.78 0.95 0.84 0.90 0.03 0.03 0.02 0.19 0.12 0.57 0.68 0.56 0.58 0.65 0.08 0.10 0.11 0.64 0.24 0.94 0.53 0.50 0.39 0.74 0.91 0.50 0.30 0.19 0.82 0.21 0.31 0.56 0.62 0.37 0.62 0.75 0.65 0.82 0.15 0.92 0.32 0.31 0.43 0.58 0.97 0.36 0.34 0.70 0.59 0.54 0.43 0.53 0.64 0.29 ]
[0.32 0.71 0.94 0.43 0.28 0.41 0.65 0.05 0.69 0.30 0.63 1.00 0.61 0.93 0.97 0.95 0.81 0.44 0.58 0.12 0.35 0.84 0.37 0.15 0.72 0.47 0.50 0.58 0.90 0.99 0.75 0.92 0.72 0.63 0.21 0.20 0.07 0.62 0.85 0.48 0.10 0.94 0.20 0.03 0.75 0.05 0.14 0.32 0.98 0.75 0.86 0.73 0.18 0.97 0.51 0.46 0.18 0.36 0.57 0.24 0.99 0.08 0.68 0.28 0.09 0.08 0.72 ]
