D = 2;
n = [ 5 5 ];
N = 75;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.21 0.02 0.05 0.64 0.08 0.82 0.09 0.04 0.84 0.22 0.73 0.18 0.55 0.30 0.58 0.53 0.36 0.78 0.35 0.01 0.69 0.94 0.64 0.85 0.45 0.87 0.82 0.44 0.76 0.24 0.54 0.06 0.20 0.02 0.32 0.15 0.98 0.11 0.87 0.81 0.21 0.63 0.62 0.48 0.44 0.09 0.50 0.09 0.31 0.29 0.37 0.99 0.35 0.72 0.16 0.94 0.57 0.35 0.57 0.05 0.94 0.38 0.14 0.61 0.36 0.54 0.89 0.59 0.58 0.33 0.76 0.75 0.05 0.76 ]
[0.21 1.00 0.60 0.16 0.44 0.46 0.13 0.20 0.52 0.67 0.72 0.33 0.50 0.57 0.61 0.90 0.58 0.09 0.10 0.03 0.24 0.08 0.42 0.02 0.21 0.18 0.47 0.69 0.30 0.71 0.31 0.16 0.20 0.26 0.10 0.12 0.57 0.27 0.62 0.56 0.15 0.28 0.38 0.55 0.38 0.85 0.24 0.29 0.89 0.01 0.47 0.87 1.00 0.46 0.41 0.21 0.47 0.96 0.65 0.80 0.48 0.68 0.04 0.94 0.42 0.10 0.02 0.28 0.76 0.82 0.24 0.25 0.47 0.06 0.68 ]
[0.02 0.60 1.00 0.13 0.32 1.00 0.62 0.75 0.01 0.47 0.21 0.69 0.23 0.51 0.57 0.49 0.11 0.78 0.10 0.33 0.98 0.83 0.81 0.78 0.97 0.97 0.21 0.30 0.68 0.30 0.65 0.32 0.95 0.65 0.65 0.80 0.99 0.81 0.52 0.22 0.13 0.81 0.29 0.09 0.53 0.44 0.87 0.80 0.41 0.49 0.08 0.84 0.54 0.77 0.54 0.74 0.99 0.35 0.52 0.46 0.28 0.64 0.52 0.26 0.35 0.02 0.66 0.83 0.15 0.68 0.70 0.38 0.46 0.45 0.67 ]
[0.05 0.16 0.13 1.00 0.36 0.73 0.65 0.16 0.54 0.19 0.74 0.76 0.73 0.82 0.02 0.31 0.88 0.21 0.74 0.17 0.83 0.15 0.39 0.86 0.46 0.86 0.63 0.68 0.35 0.61 0.87 0.33 0.45 0.19 0.23 0.26 0.50 0.18 0.59 0.30 0.38 0.99 0.68 0.91 0.15 0.21 0.62 0.80 0.64 0.15 0.99 0.58 0.16 0.04 0.05 0.52 0.11 0.24 0.25 0.60 0.98 0.09 0.94 0.22 0.79 0.99 0.41 0.50 0.58 0.64 0.94 0.98 0.82 0.02 0.09 ]
[0.64 0.44 0.32 0.36 1.00 0.76 0.20 0.90 0.70 0.90 0.27 0.89 0.39 0.92 0.34 0.04 0.38 0.15 0.51 0.84 0.31 0.39 0.60 0.98 0.04 0.45 0.13 0.07 0.33 0.35 0.80 0.02 0.58 0.47 0.02 0.20 0.70 0.10 0.00 0.34 0.33 0.10 0.17 0.52 0.86 0.44 0.43 0.73 0.14 0.05 0.34 0.20 0.37 0.24 0.49 0.63 1.00 0.69 0.37 0.47 0.90 0.02 0.45 0.46 0.94 0.12 0.07 0.90 0.64 0.00 0.42 0.96 0.59 0.14 0.05 ]
[0.08 0.46 1.00 0.73 0.76 1.00 0.39 0.70 0.98 0.37 0.93 0.23 0.64 0.11 0.99 0.24 0.61 0.40 0.21 0.23 0.37 0.76 0.04 0.49 0.53 0.56 0.11 0.37 1.00 0.34 0.67 0.22 0.17 0.77 0.87 0.84 0.14 0.27 0.41 0.92 0.09 0.14 0.65 0.39 0.60 0.85 0.73 0.20 0.96 0.86 0.81 0.08 0.69 0.44 0.68 0.56 0.38 0.58 0.17 0.96 0.07 0.72 0.70 0.11 0.66 0.54 0.79 0.69 0.57 0.29 0.04 0.14 0.40 0.04 0.02 ]
[0.82 0.13 0.62 0.65 0.20 0.39 1.00 0.85 0.52 0.95 0.79 0.04 0.25 0.23 0.41 0.77 0.93 0.30 0.38 0.55 0.89 0.42 0.82 0.63 0.69 0.10 0.88 0.43 0.21 0.43 0.45 0.53 0.08 0.53 0.57 0.24 0.47 0.80 0.26 0.41 0.04 0.85 0.57 0.39 0.78 0.66 0.85 0.14 0.33 0.61 0.21 0.04 0.62 0.67 0.92 0.96 0.96 0.32 0.74 0.09 0.33 0.83 0.86 0.17 0.85 0.66 0.72 0.96 0.72 0.88 0.54 0.32 0.17 0.60 0.27 ]
[0.09 0.20 0.75 0.16 0.90 0.70 0.85 1.00 0.62 0.87 0.46 0.98 0.81 0.51 0.57 0.65 0.13 0.51 0.91 0.53 0.84 0.85 0.31 0.13 0.30 0.93 0.04 0.58 0.09 0.99 0.90 0.94 0.64 0.98 0.71 0.49 0.11 0.34 0.43 1.00 0.92 0.69 0.97 0.30 0.68 0.42 0.23 0.84 0.10 0.66 0.36 0.26 0.03 0.91 0.35 0.95 0.96 0.25 0.46 0.46 0.88 0.52 0.93 0.33 0.35 0.89 0.74 0.71 0.63 0.19 0.01 0.17 0.21 0.36 0.79 ]
[0.04 0.52 0.01 0.54 0.70 0.98 0.52 0.62 1.00 0.54 0.90 0.52 0.91 0.43 0.60 0.26 0.51 0.50 0.65 0.71 0.35 0.83 0.98 0.79 0.55 0.61 0.58 0.75 0.10 0.84 0.02 0.37 0.32 0.46 0.36 0.31 0.50 0.65 0.88 0.45 0.74 0.61 0.63 0.09 0.74 0.90 0.24 0.51 0.07 0.85 0.07 0.60 0.73 0.25 0.66 0.75 0.26 0.91 0.97 0.67 0.22 0.19 0.51 0.68 0.21 0.62 0.73 0.02 0.46 0.49 0.02 0.06 0.97 0.70 0.48 ]
[0.84 0.67 0.47 0.19 0.90 0.37 0.95 0.87 0.54 1.00 0.86 0.86 0.10 0.88 0.34 0.28 0.50 0.35 0.24 0.13 0.42 0.11 0.57 0.93 0.67 0.37 0.25 0.76 0.78 0.42 0.88 0.66 0.02 0.29 0.20 0.34 0.23 0.55 0.95 0.25 0.27 0.27 0.56 0.70 0.42 0.07 0.98 0.34 0.76 0.82 0.71 0.28 0.91 0.72 0.47 0.04 0.63 0.52 0.89 0.23 0.82 0.61 0.71 0.03 0.34 0.72 0.58 0.71 0.33 0.32 0.37 0.95 0.16 0.34 0.88 ]
[0.22 0.72 0.21 0.74 0.27 0.93 0.79 0.46 0.90 0.86 1.00 0.08 0.05 0.89 0.44 0.66 0.17 0.02 0.02 0.31 0.65 0.62 0.32 0.89 0.71 0.19 0.16 0.52 0.88 0.53 0.69 0.86 0.22 0.80 0.92 0.07 0.59 0.59 0.60 0.85 0.55 0.26 0.24 0.19 0.59 0.12 0.65 0.42 0.27 0.97 0.11 0.89 0.74 0.78 0.09 0.48 0.53 0.45 0.75 0.64 0.34 0.16 0.96 0.82 0.37 0.72 0.87 0.42 0.28 0.60 0.04 0.65 0.51 0.06 0.29 ]
[0.73 0.33 0.69 0.76 0.89 0.23 0.04 0.98 0.52 0.86 0.08 1.00 0.53 0.84 0.81 0.81 0.86 0.92 0.30 0.74 0.95 0.66 0.55 0.08 0.86 0.16 0.28 0.11 0.34 0.32 0.94 0.94 0.59 0.48 0.03 0.85 0.16 0.70 0.92 0.35 0.47 0.95 0.38 0.78 0.62 0.63 0.05 0.26 0.87 0.58 0.32 0.89 0.95 0.42 0.70 0.13 0.52 0.60 0.67 0.42 0.34 0.39 0.38 0.47 0.65 0.90 0.53 0.84 0.73 0.55 0.93 0.03 0.19 0.93 0.90 ]
[0.18 0.50 0.23 0.73 0.39 0.64 0.25 0.81 0.91 0.10 0.05 0.53 1.00 0.08 0.17 0.67 0.03 0.52 0.24 0.79 0.53 0.84 0.48 0.53 0.44 0.55 0.81 0.68 0.60 0.74 0.43 0.22 0.39 0.21 0.73 0.21 0.21 0.18 0.45 0.98 0.94 0.30 0.84 0.20 0.91 0.18 0.75 0.41 0.55 0.48 0.96 0.88 0.43 0.60 0.85 0.25 0.47 0.90 0.82 0.38 0.96 0.83 0.47 0.36 0.28 0.88 0.33 0.33 0.09 0.10 0.61 0.33 0.11 0.17 0.25 ]
[0.55 0.57 0.51 0.82 0.92 0.11 0.23 0.51 0.43 0.88 0.89 0.84 0.08 1.00 0.87 0.62 0.15 0.26 0.96 0.23 0.59 0.19 0.84 0.50 0.06 0.06 0.81 0.53 0.25 0.43 0.67 0.46 0.72 0.86 0.64 0.25 0.37 0.67 0.25 0.03 0.76 0.06 0.64 0.25 0.61 0.27 0.35 0.44 0.96 0.88 0.05 0.18 0.58 0.35 0.43 0.50 0.55 0.82 0.09 0.24 0.36 0.41 0.40 0.99 0.09 0.48 0.10 0.59 0.09 0.14 0.27 0.41 0.79 0.04 0.77 ]
[0.30 0.61 0.57 0.02 0.34 0.99 0.41 0.57 0.60 0.34 0.44 0.81 0.17 0.87 1.00 0.16 0.29 0.03 0.64 0.80 0.83 0.06 0.19 0.90 0.36 0.21 0.36 0.86 0.46 0.67 0.15 0.60 0.69 0.98 0.94 0.99 0.62 0.28 0.20 0.73 0.80 0.61 0.12 0.42 0.72 0.64 0.88 0.26 0.14 0.48 0.04 0.71 0.80 0.82 0.92 0.35 0.75 0.50 0.59 0.68 0.08 0.29 0.86 0.18 0.33 0.45 0.62 0.16 0.02 0.36 0.24 0.61 0.55 0.48 0.27 ]
[0.58 0.90 0.49 0.31 0.04 0.24 0.77 0.65 0.26 0.28 0.66 0.81 0.67 0.62 0.16 1.00 0.97 0.41 0.05 0.12 0.81 0.94 0.63 0.40 0.13 0.47 0.54 0.66 0.35 0.98 0.94 0.69 0.53 0.88 0.62 0.68 0.56 0.29 0.33 0.13 0.17 0.84 0.21 0.16 0.53 0.74 0.15 0.28 0.32 0.81 0.49 0.71 0.56 0.92 0.91 0.96 0.87 0.50 0.66 0.39 0.75 0.55 0.22 0.12 0.02 0.29 0.63 0.83 0.74 0.02 0.43 0.96 0.96 0.96 0.94 ]
[0.53 0.58 0.11 0.88 0.38 0.61 0.93 0.13 0.51 0.50 0.17 0.86 0.03 0.15 0.29 0.97 1.00 0.73 0.63 0.42 0.96 0.05 0.58 0.91 0.20 0.85 0.72 0.06 0.86 0.88 0.67 0.02 0.90 0.73 0.46 0.94 0.97 0.16 0.80 0.78 0.45 0.74 0.59 0.76 0.68 0.43 0.51 0.06 0.71 0.04 0.37 0.42 0.67 0.69 0.44 0.19 0.03 0.42 0.80 0.42 0.88 0.96 0.56 0.81 0.64 0.13 0.91 0.72 0.37 0.26 0.70 0.58 0.75 0.73 0.19 ]
