D = 4;
n = [ 2 2 2 2 ];
N = 46;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.77 0.39 0.46 0.86 0.06 0.80 0.32 0.74 0.30 0.67 0.33 0.16 0.26 0.30 0.19 0.51 0.72 0.12 0.45 0.17 0.95 0.69 0.60 0.64 0.50 0.32 0.04 0.59 0.64 0.87 0.02 0.49 0.04 0.67 0.28 0.17 0.47 0.80 1.00 0.28 0.79 0.24 0.42 0.28 0.70 ]
[0.77 1.00 0.35 0.68 0.42 0.45 0.15 0.37 0.25 0.55 0.43 0.37 0.28 0.79 0.44 0.21 0.67 0.82 0.01 0.84 0.23 0.32 0.39 0.81 0.44 0.32 0.66 0.98 0.59 0.20 0.56 0.64 0.07 0.43 0.16 0.86 0.89 0.20 0.93 0.20 0.26 0.29 0.57 0.90 0.60 0.20 ]
[0.39 0.35 1.00 0.63 0.20 0.43 0.42 0.39 0.16 0.43 0.42 0.32 0.68 0.65 0.02 0.01 0.54 0.41 0.84 0.74 0.10 0.55 0.35 0.70 0.72 0.49 0.09 0.84 0.76 0.88 0.20 0.31 0.40 0.32 0.67 0.23 0.13 0.29 0.42 0.35 0.33 1.00 0.70 0.16 0.01 0.46 ]
[0.46 0.68 0.63 1.00 0.81 0.40 0.68 0.83 0.19 0.42 0.66 0.00 0.99 0.12 0.65 0.59 0.79 0.79 0.10 0.29 0.77 0.29 0.66 0.30 0.96 0.33 0.29 0.34 0.62 0.00 0.62 0.37 0.71 0.78 0.55 0.73 0.53 0.67 0.65 0.84 0.41 0.76 0.45 0.94 0.81 0.36 ]
[0.86 0.42 0.20 0.81 1.00 0.16 0.17 0.15 0.59 0.25 0.56 0.29 0.49 0.12 0.97 0.65 0.03 0.86 0.73 0.06 0.38 0.19 0.33 0.43 0.83 0.60 0.76 0.68 0.90 0.33 0.74 0.17 0.62 0.76 0.86 0.08 0.67 0.61 0.90 0.16 0.00 0.58 0.82 0.28 0.52 0.07 ]
[0.06 0.45 0.43 0.40 0.16 1.00 0.65 0.98 0.07 0.49 0.14 0.36 0.61 0.35 0.62 0.36 0.81 0.54 0.16 0.62 0.16 0.54 0.71 0.12 0.50 0.18 0.94 0.51 0.27 0.32 0.28 0.95 0.11 0.70 0.02 0.66 0.14 0.85 0.72 0.26 0.93 0.96 0.39 0.77 0.66 0.14 ]
[0.80 0.15 0.42 0.68 0.17 0.65 1.00 0.55 0.48 0.63 0.60 0.63 0.41 0.57 0.92 0.95 0.03 0.76 0.29 0.84 0.44 0.64 0.77 0.85 0.31 0.04 0.18 0.56 0.54 0.11 0.18 0.29 0.68 0.36 0.43 0.45 0.59 0.01 0.11 0.89 0.97 0.87 0.50 0.07 0.11 0.26 ]
[0.32 0.37 0.39 0.83 0.15 0.98 0.55 1.00 0.18 1.00 0.49 0.42 0.59 0.42 0.21 0.16 0.29 0.90 0.44 0.22 0.31 0.71 0.98 0.98 0.60 0.05 0.18 0.13 0.43 0.36 0.46 0.28 0.96 0.69 0.45 0.78 0.23 0.41 0.87 0.02 0.12 0.32 0.60 0.32 0.95 0.41 ]
[0.74 0.25 0.16 0.19 0.59 0.07 0.48 0.18 1.00 0.06 0.28 0.04 0.82 0.47 0.48 0.39 0.34 0.33 0.55 0.02 0.73 0.44 0.48 0.77 0.61 0.14 0.50 0.96 0.51 0.92 0.95 0.67 0.13 0.97 0.22 0.68 0.61 0.46 0.71 0.24 0.56 0.43 0.91 0.01 0.44 0.85 ]
[0.30 0.55 0.43 0.42 0.25 0.49 0.63 1.00 0.06 1.00 0.98 0.91 0.59 0.98 0.71 0.78 0.30 0.40 0.77 0.69 0.10 0.66 0.18 0.94 0.72 1.00 0.08 0.11 0.25 0.41 0.96 0.79 0.66 0.52 0.68 0.48 0.32 0.57 0.96 0.10 0.32 0.09 0.75 0.80 0.78 0.64 ]
[0.67 0.43 0.42 0.66 0.56 0.14 0.60 0.49 0.28 0.98 1.00 0.27 0.16 0.25 0.02 0.42 0.21 0.15 0.04 1.00 0.91 0.74 0.99 0.77 0.59 0.50 0.30 0.16 0.87 0.19 0.18 0.40 0.89 0.07 0.60 0.13 0.84 0.36 0.37 0.01 0.25 0.82 0.61 0.61 0.69 0.91 ]
[0.33 0.37 0.32 0.00 0.29 0.36 0.63 0.42 0.04 0.91 0.27 1.00 0.51 0.90 0.91 0.16 0.72 0.84 0.22 0.72 0.84 0.22 0.51 0.37 0.40 0.39 0.18 0.78 0.19 0.36 0.80 0.92 0.07 0.05 0.48 1.00 0.29 0.66 0.62 0.64 0.02 0.69 0.21 0.23 0.64 0.34 ]
[0.16 0.28 0.68 0.99 0.49 0.61 0.41 0.59 0.82 0.59 0.16 0.51 1.00 0.87 0.10 0.75 0.81 0.98 0.78 0.88 0.24 0.76 0.20 0.93 0.25 0.76 0.43 0.76 0.75 0.99 0.60 0.73 0.75 0.85 0.47 0.35 0.02 0.43 0.77 0.04 0.07 0.83 0.71 0.24 0.12 0.85 ]
[0.26 0.79 0.65 0.12 0.12 0.35 0.57 0.42 0.47 0.98 0.25 0.90 0.87 1.00 0.39 0.69 0.53 0.90 0.09 0.54 0.09 0.90 0.70 0.59 0.19 0.34 0.69 1.00 0.84 0.15 0.01 0.13 0.91 0.50 0.29 0.11 0.69 0.95 0.97 0.30 0.19 0.94 0.89 0.51 0.83 0.12 ]
[0.30 0.44 0.02 0.65 0.97 0.62 0.92 0.21 0.48 0.71 0.02 0.91 0.10 0.39 1.00 0.18 0.44 0.21 0.39 0.12 0.90 0.95 0.19 0.61 0.95 0.29 0.96 0.07 0.69 0.16 0.48 0.19 0.14 0.05 0.14 0.13 0.84 0.58 0.54 0.98 0.46 0.17 0.76 0.52 0.43 0.29 ]
[0.19 0.21 0.01 0.59 0.65 0.36 0.95 0.16 0.39 0.78 0.42 0.16 0.75 0.69 0.18 1.00 0.91 0.04 0.74 0.08 0.92 0.96 0.09 0.88 0.53 0.16 0.74 0.73 0.19 0.52 0.95 0.04 0.87 0.85 0.44 0.06 0.27 0.44 0.84 0.10 0.59 0.57 0.55 0.20 0.24 0.81 ]
[0.51 0.67 0.54 0.79 0.03 0.81 0.03 0.29 0.34 0.30 0.21 0.72 0.81 0.53 0.44 0.91 1.00 0.79 0.13 0.43 0.52 0.02 0.52 0.50 0.10 0.90 0.28 0.53 0.74 0.13 0.56 0.68 0.07 0.49 0.36 0.41 0.68 0.35 0.59 0.68 0.61 0.20 0.55 0.39 0.20 0.25 ]
[0.72 0.82 0.41 0.79 0.86 0.54 0.76 0.90 0.33 0.40 0.15 0.84 0.98 0.90 0.21 0.04 0.79 1.00 0.48 0.35 0.96 0.73 0.70 0.02 0.92 0.67 0.98 0.53 0.41 0.91 0.83 0.17 0.21 0.60 0.08 0.31 0.43 0.19 0.83 0.96 0.18 0.75 0.52 0.43 0.29 0.52 ]
[0.12 0.01 0.84 0.10 0.73 0.16 0.29 0.44 0.55 0.77 0.04 0.22 0.78 0.09 0.39 0.74 0.13 0.48 1.00 0.48 0.58 0.99 0.22 0.29 0.26 0.47 0.99 0.31 0.86 0.05 0.83 0.15 0.84 0.18 0.97 0.09 0.13 0.65 0.20 0.99 0.90 0.93 0.49 0.75 0.78 0.16 ]
[0.45 0.84 0.74 0.29 0.06 0.62 0.84 0.22 0.02 0.69 1.00 0.72 0.88 0.54 0.12 0.08 0.43 0.35 0.48 1.00 0.50 0.64 0.86 0.99 0.25 0.32 0.21 0.68 0.99 0.19 0.70 0.35 0.41 0.18 0.94 0.82 0.14 0.84 0.71 0.51 0.04 0.20 0.26 0.79 0.04 0.75 ]
[0.17 0.23 0.10 0.77 0.38 0.16 0.44 0.31 0.73 0.10 0.91 0.84 0.24 0.09 0.90 0.92 0.52 0.96 0.58 0.50 1.00 0.36 0.01 0.70 0.61 0.21 0.59 0.15 0.13 0.72 0.93 0.52 0.64 0.62 0.42 0.51 0.19 0.38 0.39 0.21 0.28 0.16 0.32 0.21 0.56 0.99 ]
[0.95 0.32 0.55 0.29 0.19 0.54 0.64 0.71 0.44 0.66 0.74 0.22 0.76 0.90 0.95 0.96 0.02 0.73 0.99 0.64 0.36 1.00 0.37 0.37 1.00 0.97 0.96 0.57 0.16 0.83 0.65 0.30 0.71 0.28 0.91 0.17 0.60 0.44 0.54 0.11 0.76 0.14 0.55 0.11 0.42 0.05 ]
[0.69 0.39 0.35 0.66 0.33 0.71 0.77 0.98 0.48 0.18 0.99 0.51 0.20 0.70 0.19 0.09 0.52 0.70 0.22 0.86 0.01 0.37 1.00 0.56 0.15 0.41 0.65 0.08 0.08 0.18 0.78 0.89 0.23 0.74 0.46 0.42 0.52 0.93 0.71 0.42 0.07 0.97 0.93 0.01 0.26 0.02 ]
[0.60 0.81 0.70 0.30 0.43 0.12 0.85 0.98 0.77 0.94 0.77 0.37 0.93 0.59 0.61 0.88 0.50 0.02 0.29 0.99 0.70 0.37 0.56 1.00 0.40 0.06 0.05 0.41 0.34 0.02 0.02 0.47 0.25 0.51 0.83 0.05 0.60 0.87 0.84 0.62 0.14 0.65 0.13 0.82 0.56 0.81 ]
[0.64 0.44 0.72 0.96 0.83 0.50 0.31 0.60 0.61 0.72 0.59 0.40 0.25 0.19 0.95 0.53 0.10 0.92 0.26 0.25 0.61 1.00 0.15 0.40 1.00 0.02 0.36 0.05 0.10 0.39 0.26 0.86 0.07 0.24 0.07 0.17 0.18 0.39 0.01 0.41 0.51 0.06 0.73 0.87 0.84 0.85 ]
