D = 4;
n = [ 3 3 3 3 ];
N = 45;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.81 0.75 0.29 0.55 0.78 0.87 0.21 0.40 0.07 0.41 0.60 0.98 0.12 0.39 0.89 0.09 0.80 0.29 0.95 0.73 0.22 0.04 0.18 0.78 0.59 0.04 0.92 0.52 0.43 0.10 0.23 0.13 0.58 0.67 0.11 0.61 0.64 0.32 0.58 0.93 0.66 0.02 0.41 0.58 ]
[0.81 1.00 0.02 0.40 0.59 0.98 0.01 0.25 0.91 0.81 0.75 0.13 0.04 0.46 0.51 0.86 0.77 0.13 0.70 0.40 0.96 0.42 0.31 0.20 0.09 0.15 0.57 0.34 0.69 0.37 0.23 0.63 0.07 0.59 0.85 0.06 0.90 0.16 0.80 0.67 0.64 0.46 0.35 0.94 0.87 ]
[0.75 0.02 1.00 0.83 0.07 0.70 1.00 0.66 0.08 0.37 0.54 0.76 0.85 0.22 0.47 0.29 0.91 0.78 0.57 0.51 0.10 0.39 0.39 0.36 0.07 0.29 0.74 0.23 0.72 0.26 0.51 0.84 0.72 0.32 0.51 0.22 1.00 0.47 0.65 0.89 0.16 0.02 0.74 0.68 0.57 ]
[0.29 0.40 0.83 1.00 0.07 0.47 0.85 0.12 0.66 0.23 0.01 0.88 0.43 0.60 0.42 0.50 0.92 0.91 0.06 0.23 0.39 0.33 0.09 0.30 0.64 0.19 0.90 0.71 0.37 0.26 0.30 0.11 0.00 0.93 0.45 0.08 0.96 0.55 0.92 0.60 0.97 0.43 0.57 0.01 0.56 ]
[0.55 0.59 0.07 0.07 1.00 0.90 0.15 0.16 0.49 0.81 0.40 0.12 0.24 0.82 0.07 0.64 0.30 0.55 0.33 0.69 0.79 0.35 0.14 0.74 0.81 0.88 0.27 0.98 0.31 0.85 0.49 0.60 0.06 0.40 0.71 0.41 0.07 0.08 0.02 0.47 0.19 0.54 0.92 0.38 0.63 ]
[0.78 0.98 0.70 0.47 0.90 1.00 0.99 0.34 0.54 0.26 0.15 0.22 0.53 0.52 0.97 0.60 0.43 0.61 0.29 0.43 0.87 0.22 0.32 0.77 0.51 0.49 0.46 0.68 0.37 0.94 0.26 0.04 0.60 0.08 1.00 0.99 0.37 0.31 0.69 0.11 0.24 0.97 0.79 0.78 0.55 ]
[0.87 0.01 1.00 0.85 0.15 0.99 1.00 0.85 0.82 0.81 0.50 0.47 0.07 0.40 0.50 0.79 0.16 0.97 0.17 0.09 0.80 0.83 0.96 0.92 0.80 0.43 0.72 0.96 0.21 0.48 0.25 0.18 0.14 0.45 0.84 0.80 0.87 0.37 0.61 0.87 0.40 0.47 0.75 0.56 0.76 ]
[0.21 0.25 0.66 0.12 0.16 0.34 0.85 1.00 0.65 0.14 0.09 0.85 0.77 0.87 0.87 0.37 0.70 0.14 0.16 0.51 0.64 0.34 0.73 0.93 0.12 0.12 0.00 0.65 0.73 0.56 0.74 0.61 0.65 0.07 0.67 0.05 0.42 0.86 0.89 0.01 0.25 0.22 0.30 0.88 0.57 ]
[0.40 0.91 0.08 0.66 0.49 0.54 0.82 0.65 1.00 0.68 0.15 0.96 0.38 0.36 0.66 0.97 0.98 0.93 0.55 0.45 0.22 0.34 0.99 0.47 0.20 0.93 0.16 0.95 0.18 0.95 0.62 0.34 0.96 0.30 0.53 0.02 0.30 0.70 0.12 0.15 0.95 0.74 0.55 0.02 0.96 ]
[0.07 0.81 0.37 0.23 0.81 0.26 0.81 0.14 0.68 1.00 0.25 0.51 0.08 0.84 0.56 0.86 0.38 0.03 0.75 0.87 0.99 0.03 0.52 0.57 0.23 0.43 0.41 0.37 0.15 0.75 0.16 0.10 0.21 0.31 0.28 0.21 0.99 0.53 0.21 0.13 0.70 0.78 0.18 0.96 0.05 ]
[0.41 0.75 0.54 0.01 0.40 0.15 0.50 0.09 0.15 0.25 1.00 0.04 0.80 0.06 0.01 0.85 0.12 0.04 0.98 0.73 0.80 0.09 0.66 0.95 0.71 0.58 0.74 0.45 0.72 0.19 0.85 0.03 0.00 0.15 0.12 0.54 0.23 0.38 0.91 0.77 0.42 0.80 0.66 0.99 0.66 ]
[0.60 0.13 0.76 0.88 0.12 0.22 0.47 0.85 0.96 0.51 0.04 1.00 0.67 0.82 0.36 0.47 0.45 0.94 0.91 0.02 0.16 0.76 0.05 0.31 0.76 0.07 0.27 0.40 0.52 0.54 0.60 0.88 0.81 0.04 0.27 0.09 0.96 0.98 0.93 0.29 0.63 0.63 0.19 1.00 0.13 ]
[0.98 0.04 0.85 0.43 0.24 0.53 0.07 0.77 0.38 0.08 0.80 0.67 1.00 0.12 0.52 0.38 0.73 0.11 0.26 0.43 0.19 0.76 0.38 0.02 0.22 0.21 0.05 0.32 0.53 0.28 0.44 0.45 0.22 0.01 0.97 0.98 0.57 0.21 0.69 0.14 0.96 0.55 0.55 0.20 0.63 ]
[0.12 0.46 0.22 0.60 0.82 0.52 0.40 0.87 0.36 0.84 0.06 0.82 0.12 1.00 0.22 0.89 0.67 0.08 0.50 0.18 0.43 0.49 0.72 0.13 0.34 0.83 0.26 0.16 0.25 0.04 0.81 0.16 0.55 0.60 0.90 0.75 0.89 0.11 0.49 0.65 0.99 0.68 0.22 0.38 0.22 ]
[0.39 0.51 0.47 0.42 0.07 0.97 0.50 0.87 0.66 0.56 0.01 0.36 0.52 0.22 1.00 0.06 0.67 0.73 0.83 0.96 0.56 0.09 0.83 0.43 0.85 0.07 0.86 0.91 0.21 0.48 0.04 0.76 0.17 0.18 0.16 0.63 0.31 0.02 0.11 0.13 0.04 0.46 0.22 0.14 0.92 ]
[0.89 0.86 0.29 0.50 0.64 0.60 0.79 0.37 0.97 0.86 0.85 0.47 0.38 0.89 0.06 1.00 0.86 0.56 0.39 0.56 0.69 0.99 0.65 0.44 0.14 0.70 0.04 0.59 1.00 0.10 0.08 0.40 0.94 0.86 0.55 0.59 0.78 0.35 0.71 0.87 0.44 0.69 0.12 0.46 0.73 ]
[0.09 0.77 0.91 0.92 0.30 0.43 0.16 0.70 0.98 0.38 0.12 0.45 0.73 0.67 0.67 0.86 1.00 0.51 0.29 0.61 0.02 0.21 0.66 0.39 1.00 0.97 0.18 0.14 0.75 0.30 0.67 0.36 0.57 0.63 0.65 0.10 0.20 0.33 0.98 0.85 0.23 0.86 0.17 0.05 0.62 ]
[0.80 0.13 0.78 0.91 0.55 0.61 0.97 0.14 0.93 0.03 0.04 0.94 0.11 0.08 0.73 0.56 0.51 1.00 0.26 0.62 0.65 0.56 0.49 0.51 0.01 0.27 0.56 0.09 0.60 0.26 0.13 0.35 0.29 0.13 0.54 0.52 0.24 0.66 0.22 0.84 0.05 0.98 0.87 0.37 0.16 ]
[0.29 0.70 0.57 0.06 0.33 0.29 0.17 0.16 0.55 0.75 0.98 0.91 0.26 0.50 0.83 0.39 0.29 0.26 1.00 0.79 0.94 0.96 0.95 0.41 0.75 0.74 0.22 0.71 0.29 0.49 0.50 0.16 0.02 0.16 0.43 0.89 0.63 0.69 0.87 0.28 0.21 0.82 0.81 0.63 0.25 ]
[0.95 0.40 0.51 0.23 0.69 0.43 0.09 0.51 0.45 0.87 0.73 0.02 0.43 0.18 0.96 0.56 0.61 0.62 0.79 1.00 0.29 0.38 0.52 0.89 0.46 0.22 0.73 0.70 0.75 0.61 0.42 0.57 0.69 0.44 0.13 0.43 0.39 0.62 0.56 0.11 0.26 0.20 0.93 0.98 0.83 ]
