D = 4;
n = [ 3 3 3 3 ];
N = 54;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.52 0.75 0.08 0.16 0.90 0.99 0.70 0.51 0.97 0.14 0.66 0.91 0.91 0.58 0.09 0.67 0.69 0.61 0.71 0.22 0.02 0.51 0.59 0.81 0.32 0.18 0.07 0.39 0.53 0.71 0.89 0.12 0.25 0.96 0.61 0.43 0.66 0.26 0.51 0.53 0.08 0.97 0.93 0.41 0.75 0.60 0.88 0.86 0.87 0.87 0.55 0.30 0.84 ]
[0.52 1.00 0.84 0.23 0.90 0.34 0.98 0.03 0.72 0.76 0.74 0.46 0.88 0.11 0.54 0.21 0.68 0.20 0.51 0.16 0.51 0.34 0.18 0.43 0.52 0.39 0.67 0.69 0.77 0.83 0.38 0.64 0.81 0.87 0.21 0.53 0.05 0.80 0.75 0.76 0.57 0.27 0.47 0.05 0.96 0.77 0.09 0.50 0.97 0.67 0.02 0.58 0.72 0.07 ]
[0.75 0.84 1.00 0.06 0.31 0.01 0.43 0.07 0.10 0.43 0.37 0.76 0.35 0.27 0.30 0.96 0.87 0.34 0.07 0.93 0.61 0.39 0.25 0.23 0.17 0.65 0.80 0.89 0.62 0.49 0.29 0.71 0.96 0.75 0.52 0.30 0.91 0.12 0.61 0.99 0.54 0.75 0.25 0.64 0.67 0.16 0.92 0.92 0.12 0.05 0.65 0.80 0.09 0.74 ]
[0.08 0.23 0.06 1.00 0.87 0.54 0.62 0.30 0.38 0.73 0.24 0.54 0.05 0.43 0.20 0.57 0.18 0.93 0.35 0.68 0.32 0.44 0.33 0.92 0.35 0.47 0.17 0.93 0.64 0.01 0.93 0.56 0.16 0.92 0.12 0.39 0.85 0.01 0.59 0.68 0.82 0.83 0.56 0.78 0.54 0.61 0.88 0.77 0.45 0.81 0.86 0.82 0.37 0.11 ]
[0.16 0.90 0.31 0.87 1.00 0.52 0.87 0.12 0.96 0.89 0.02 0.85 0.74 0.32 0.74 0.12 0.54 0.69 0.85 0.69 0.46 0.90 0.10 0.69 0.80 0.86 0.97 0.28 0.70 0.69 0.06 0.02 0.19 0.87 0.30 0.78 0.56 0.21 0.49 0.23 0.36 0.08 0.14 0.70 0.49 0.33 0.35 0.17 0.99 0.06 0.70 0.48 0.48 0.43 ]
[0.90 0.34 0.01 0.54 0.52 1.00 0.80 0.60 0.28 0.32 0.29 0.77 0.29 0.67 0.67 0.81 0.12 0.15 0.79 0.65 0.19 0.61 0.04 0.46 0.22 0.69 0.22 0.63 0.65 0.38 0.20 0.96 0.57 0.80 0.50 0.71 0.54 0.79 0.50 0.43 0.99 0.56 0.08 0.21 0.02 0.04 0.31 0.63 0.21 0.52 0.87 0.10 0.28 0.08 ]
[0.99 0.98 0.43 0.62 0.87 0.80 1.00 0.54 0.49 0.68 0.02 0.26 0.32 0.06 0.50 0.43 0.95 0.81 0.57 0.54 0.09 0.60 0.58 0.91 0.08 0.92 0.66 0.05 0.53 0.04 0.02 0.36 0.27 0.48 0.92 0.45 0.46 0.25 0.33 0.52 0.73 0.04 0.57 0.65 0.85 0.22 0.04 0.45 0.71 0.77 0.76 0.73 0.92 0.84 ]
[0.70 0.03 0.07 0.30 0.12 0.60 0.54 1.00 0.92 0.61 0.59 0.01 0.57 0.96 0.55 0.88 0.02 0.73 0.76 0.11 0.18 0.57 0.32 0.29 0.56 0.15 0.64 0.90 0.79 0.09 0.95 0.43 0.23 0.02 0.42 0.69 0.17 0.56 0.32 0.11 0.43 0.55 0.24 0.06 0.62 0.68 0.76 0.96 0.80 0.84 0.21 0.52 0.92 0.31 ]
[0.51 0.72 0.10 0.38 0.96 0.28 0.49 0.92 1.00 0.65 0.26 0.59 0.86 0.76 0.62 0.76 0.73 0.90 0.30 0.99 0.04 0.34 0.53 0.64 0.05 0.13 0.44 0.27 0.80 0.54 0.03 0.66 0.89 0.25 0.34 0.27 0.41 0.66 0.84 0.50 0.74 0.42 0.42 0.54 0.79 0.41 0.27 0.76 0.87 0.26 0.09 0.09 0.33 0.76 ]
[0.97 0.76 0.43 0.73 0.89 0.32 0.68 0.61 0.65 1.00 0.18 0.85 0.88 0.24 0.83 0.57 0.98 0.70 0.15 0.48 0.15 0.05 0.86 0.17 0.35 0.27 0.90 0.51 0.06 0.65 0.45 0.21 0.97 0.38 0.82 0.38 0.83 0.70 0.99 0.73 0.57 0.97 0.77 0.92 0.18 0.60 0.95 0.60 0.59 0.96 0.54 0.95 0.43 0.05 ]
[0.14 0.74 0.37 0.24 0.02 0.29 0.02 0.59 0.26 0.18 1.00 0.15 0.15 0.22 0.28 0.53 0.47 0.45 0.31 0.20 0.51 0.04 0.02 0.82 0.21 0.61 0.28 0.44 0.38 0.76 0.47 0.27 0.13 0.84 0.32 0.54 0.12 0.52 0.42 0.12 0.93 0.60 0.31 0.29 0.10 0.77 0.65 0.92 0.91 0.43 0.14 0.61 0.77 0.87 ]
