D = 4;
n = [ 3 3 3 3 ];
N = 59;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.50 0.71 0.74 0.43 0.48 0.84 0.23 0.32 0.05 0.87 0.70 0.55 0.10 0.25 0.52 0.94 0.00 0.82 0.15 0.30 0.01 0.40 0.83 0.23 0.66 0.93 0.88 0.28 0.20 0.93 0.28 0.35 0.68 0.74 0.90 0.83 0.07 0.41 0.36 0.72 0.44 0.77 0.70 0.64 0.90 0.07 0.15 0.78 0.99 0.40 0.02 0.41 0.66 0.28 0.72 0.04 0.16 0.54 ]
[0.50 1.00 0.46 0.63 0.15 0.68 0.58 0.26 0.44 0.29 0.86 0.31 0.48 0.30 0.72 0.54 0.03 0.14 0.72 0.59 0.31 0.73 0.02 0.35 0.86 0.44 0.69 0.30 0.92 0.42 0.16 0.93 0.14 0.08 0.20 0.35 0.18 0.12 0.45 0.82 0.56 0.63 1.00 0.76 0.84 0.65 0.52 0.42 0.47 0.82 0.33 0.82 0.09 0.26 0.96 0.03 0.98 0.58 0.28 ]
[0.71 0.46 1.00 0.73 0.15 0.46 0.57 0.85 0.31 0.03 0.16 0.17 0.98 0.02 0.28 0.53 0.89 0.42 0.34 0.72 0.93 0.60 0.69 0.50 0.09 0.47 0.02 0.68 0.71 0.93 0.03 0.79 0.31 0.93 0.43 0.07 0.42 0.66 0.86 0.41 0.73 0.08 0.70 0.45 0.04 0.16 0.97 0.32 0.48 0.10 0.42 0.69 0.16 0.62 0.55 0.52 0.53 0.57 0.33 ]
[0.74 0.63 0.73 1.00 0.59 0.70 0.45 0.02 0.10 0.08 0.96 0.36 0.68 0.79 0.70 0.06 0.09 0.82 0.85 0.01 0.13 0.86 0.45 0.33 0.53 0.39 0.31 0.80 0.69 0.93 0.61 0.87 0.90 1.00 0.94 0.63 0.19 0.91 0.65 0.81 0.04 0.20 0.76 0.43 0.29 0.68 0.01 0.08 0.69 0.09 0.25 0.38 0.37 0.07 0.73 0.82 0.90 0.21 0.07 ]
[0.43 0.15 0.15 0.59 1.00 0.63 0.77 0.45 0.47 0.95 0.76 0.38 0.00 0.99 0.04 0.15 0.38 0.56 0.38 0.78 0.48 0.39 0.40 0.36 0.78 0.82 0.73 0.15 0.06 0.78 0.48 0.21 0.78 0.49 0.24 0.30 0.75 0.45 0.48 0.08 0.50 0.13 0.46 0.13 0.82 0.37 0.66 0.02 0.01 0.21 0.94 0.02 0.22 0.62 0.93 0.88 0.68 0.64 0.79 ]
[0.48 0.68 0.46 0.70 0.63 1.00 0.52 0.16 0.25 0.10 0.46 0.03 0.75 0.18 0.47 0.27 0.74 0.89 0.41 0.17 0.54 0.10 0.68 0.31 0.86 0.56 0.96 0.82 0.26 0.01 0.92 0.84 0.49 0.48 0.74 0.16 0.77 0.98 0.13 0.01 0.16 0.54 0.98 0.66 0.46 0.82 0.50 0.43 0.95 0.17 0.31 0.39 0.63 0.40 0.49 0.54 0.18 0.86 0.59 ]
[0.84 0.58 0.57 0.45 0.77 0.52 1.00 0.41 0.99 0.88 0.91 0.05 0.93 0.19 0.78 0.66 0.53 0.12 0.88 0.53 0.14 0.67 0.45 0.79 0.05 0.36 0.34 0.70 0.69 0.23 0.91 0.46 0.51 0.59 0.61 0.26 0.15 0.48 0.55 0.89 0.54 0.06 0.47 0.59 0.07 0.61 0.77 0.36 0.62 0.49 0.26 0.71 0.59 0.63 0.91 0.93 0.64 0.69 0.72 ]
[0.23 0.26 0.85 0.02 0.45 0.16 0.41 1.00 0.61 0.18 0.80 0.90 0.71 0.46 0.31 0.80 0.33 0.93 0.11 0.85 0.83 0.26 0.21 0.67 0.83 0.32 0.27 0.71 0.42 0.57 0.82 0.27 0.24 0.94 0.32 0.58 0.80 0.07 0.17 0.74 0.21 0.66 0.61 0.26 0.33 0.03 0.76 0.48 0.81 0.70 0.31 0.14 0.59 0.35 0.04 0.91 0.05 0.49 0.80 ]
[0.32 0.44 0.31 0.10 0.47 0.25 0.99 0.61 1.00 0.43 0.14 0.04 0.96 0.78 0.21 0.85 0.72 0.56 0.61 0.54 0.08 0.57 0.05 0.54 0.70 0.10 0.48 0.83 0.49 0.76 0.81 0.36 0.75 0.59 0.76 0.60 0.51 0.19 0.28 0.52 0.46 0.03 0.04 0.85 0.42 0.76 0.58 0.53 0.75 0.24 0.61 0.79 0.62 0.37 0.11 0.40 0.40 0.69 0.69 ]
[0.05 0.29 0.03 0.08 0.95 0.10 0.88 0.18 0.43 1.00 0.89 0.22 0.87 0.18 0.40 0.26 0.50 0.07 0.84 0.90 0.68 0.95 0.88 0.11 0.54 0.47 0.12 0.30 0.72 0.65 0.46 0.85 0.58 0.11 0.79 0.78 0.06 0.68 0.69 0.08 0.07 0.69 0.38 0.08 0.89 0.78 0.19 0.41 0.98 0.74 0.34 0.56 0.74 0.68 0.47 0.24 0.30 0.44 0.29 ]
