D = 4;
n = [ 3 3 3 3 ];
N = 78;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.26 0.69 0.44 0.74 0.34 0.06 0.24 0.58 0.92 0.92 0.15 0.18 0.01 0.05 0.16 0.61 0.02 0.69 0.27 0.42 0.83 0.80 0.36 0.34 0.64 0.92 0.56 0.43 0.01 0.64 0.70 0.95 0.52 0.01 0.24 0.91 0.65 0.67 0.67 0.12 0.18 0.05 0.76 0.33 0.39 0.15 0.43 0.88 0.74 0.38 0.06 0.47 0.41 0.81 0.86 0.12 0.62 0.32 0.82 0.16 0.95 0.01 0.58 0.09 0.32 0.18 0.22 0.50 0.86 0.41 0.13 0.99 0.17 0.28 0.03 0.38 0.90 ]
[0.26 1.00 0.30 0.76 0.87 0.77 0.52 0.28 0.17 0.55 0.44 0.65 0.96 0.99 0.48 1.00 0.09 0.93 0.28 0.20 0.26 0.39 0.28 0.88 0.32 0.36 0.52 0.64 0.81 0.89 0.75 0.49 0.37 0.03 0.54 0.46 0.63 0.11 0.96 0.61 0.21 0.68 0.77 0.00 0.24 0.82 0.56 0.57 0.38 0.54 0.48 0.79 0.31 0.16 0.96 0.12 0.82 0.64 0.13 0.72 0.59 0.62 0.67 0.39 0.10 0.11 0.15 0.22 0.92 0.44 0.60 0.12 0.51 0.41 0.26 0.97 0.69 0.23 ]
[0.69 0.30 1.00 0.83 0.99 0.25 0.07 0.07 0.12 0.36 0.48 0.65 0.68 0.68 0.60 0.02 0.10 0.47 0.17 0.36 0.90 0.10 0.59 0.66 0.52 0.23 0.64 0.55 0.59 0.28 0.47 0.29 0.50 0.92 0.56 0.32 0.58 0.82 0.56 0.45 0.00 0.15 0.83 0.44 0.47 0.05 0.91 0.55 0.40 0.90 0.99 0.65 0.26 0.11 0.06 0.90 0.32 0.10 0.04 0.72 0.39 0.69 0.02 0.20 0.73 0.37 0.24 0.38 0.55 0.21 0.38 0.19 0.20 0.71 0.67 0.43 0.44 0.25 ]
[0.44 0.76 0.83 1.00 0.82 0.36 0.18 0.01 0.54 0.27 0.12 0.54 0.82 0.36 0.07 0.73 0.11 0.49 0.21 0.42 0.26 0.85 0.71 0.69 0.71 0.75 0.01 0.87 0.47 0.77 0.13 0.74 0.24 0.25 0.21 0.54 0.53 0.24 0.84 0.15 0.01 0.91 0.72 0.98 0.34 0.51 0.29 0.72 0.03 0.37 0.49 0.98 0.71 0.37 0.44 0.08 0.32 0.80 0.16 0.32 0.33 0.93 0.43 0.22 0.32 0.68 0.16 0.30 0.39 0.08 0.38 0.97 0.65 0.68 0.80 0.69 0.08 0.69 ]
[0.74 0.87 0.99 0.82 1.00 0.45 0.91 0.67 0.80 0.55 0.10 0.28 0.28 0.49 0.36 0.94 0.58 0.04 0.68 0.92 0.38 0.48 0.50 0.25 0.75 0.87 0.76 0.05 0.98 0.88 0.03 0.79 0.04 0.46 0.18 0.66 0.35 0.74 0.72 0.04 0.61 0.18 0.99 0.22 0.31 0.49 0.45 0.35 0.41 0.53 0.56 0.82 0.77 0.95 0.03 0.25 0.82 0.93 0.47 0.90 0.38 0.15 0.37 0.57 0.97 0.07 0.04 0.34 0.37 0.60 0.05 0.66 0.48 0.43 0.12 0.68 0.56 0.19 ]
[0.34 0.77 0.25 0.36 0.45 1.00 0.56 0.87 0.37 0.77 0.79 0.10 0.64 0.32 0.85 0.65 0.55 0.52 0.79 0.10 0.53 0.22 0.68 0.25 0.63 0.21 0.03 0.54 0.57 0.71 0.91 0.36 0.94 0.80 0.69 0.21 0.56 0.17 0.10 0.24 0.73 0.94 0.66 0.10 0.63 0.05 0.56 0.50 0.12 0.99 0.23 0.76 0.97 0.05 0.20 0.40 0.28 0.11 0.70 0.74 0.63 0.16 0.98 0.78 0.42 0.04 0.98 0.08 0.37 0.52 0.22 0.65 0.40 0.31 0.05 0.57 0.16 0.47 ]
[0.06 0.52 0.07 0.18 0.91 0.56 1.00 0.82 0.68 0.56 0.21 0.64 0.34 0.67 0.70 0.02 0.91 0.59 0.43 0.49 0.15 0.79 0.07 0.03 0.60 0.61 0.17 0.07 0.24 0.51 0.83 0.15 0.82 0.39 0.03 0.05 0.50 0.01 0.36 0.36 0.73 0.18 0.87 0.04 0.62 0.93 0.36 0.66 0.09 0.51 0.12 0.01 0.64 0.80 0.95 0.36 0.24 0.53 0.71 0.09 0.64 0.43 0.03 0.13 0.54 0.60 0.18 0.43 0.90 0.13 0.24 0.65 0.25 0.62 0.79 0.07 0.98 0.22 ]
[0.24 0.28 0.07 0.01 0.67 0.87 0.82 1.00 0.06 0.02 0.77 0.70 0.75 0.14 0.63 0.16 0.98 0.40 0.30 0.30 0.92 0.66 0.92 0.19 0.64 0.92 0.87 0.47 0.88 0.75 0.62 0.69 0.58 0.07 0.40 0.80 0.58 0.92 0.47 0.19 0.73 0.22 0.62 0.51 0.44 0.72 0.61 0.10 0.75 0.25 0.05 0.76 0.86 0.25 0.57 0.07 0.05 0.69 0.14 0.14 0.63 0.55 0.59 0.31 0.47 0.02 0.51 0.46 0.69 0.05 0.31 0.54 0.48 0.82 0.37 0.84 0.62 0.02 ]
[0.58 0.17 0.12 0.54 0.80 0.37 0.68 0.06 1.00 0.75 0.66 0.39 0.17 0.36 0.63 0.92 0.48 0.75 0.04 0.19 0.58 0.34 0.00 0.06 0.69 0.64 0.02 0.26 0.98 0.41 0.41 0.22 0.85 0.97 0.88 0.06 0.23 0.00 0.15 0.22 0.98 0.77 0.44 0.12 0.98 0.19 0.44 0.70 0.98 0.82 0.44 0.78 0.69 0.39 0.82 0.94 0.84 0.22 0.42 0.20 0.80 0.21 0.57 0.60 0.45 0.67 0.27 0.39 0.21 0.53 0.00 0.10 0.39 0.93 0.61 0.52 0.78 0.42 ]
[0.92 0.55 0.36 0.27 0.55 0.77 0.56 0.02 0.75 1.00 0.99 0.22 0.66 0.92 0.45 0.04 0.21 0.53 0.62 0.85 0.69 0.69 0.40 0.75 0.55 0.87 0.00 0.73 0.29 0.20 0.01 0.36 0.03 0.77 0.67 0.40 0.33 0.85 0.37 0.38 0.49 0.84 0.48 0.84 0.28 0.60 0.31 0.69 0.64 0.25 0.84 0.49 0.01 0.42 0.62 0.24 0.42 0.09 0.30 0.43 0.70 0.86 0.62 0.95 0.92 0.87 0.07 0.83 0.22 0.56 0.95 0.98 0.33 0.31 0.65 0.57 0.77 0.97 ]
