D = 4;
n = [ 5 5 5 5 ];
N = 82;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.41 0.18 0.79 0.90 0.15 0.03 0.40 1.00 0.93 0.25 0.47 0.35 0.45 0.62 0.45 0.38 0.84 0.18 0.85 1.00 0.66 0.81 0.46 0.13 0.51 0.99 0.65 0.11 0.07 0.59 0.84 0.14 0.67 0.89 0.53 0.35 0.07 0.41 0.32 0.87 0.43 0.87 0.28 0.03 0.99 0.31 0.41 0.39 0.31 0.75 0.04 0.51 0.48 0.49 0.66 0.44 0.93 0.60 0.86 0.57 0.12 0.18 0.97 0.65 0.18 0.72 0.33 0.92 0.30 0.99 0.26 0.25 0.60 0.32 0.12 1.00 0.16 0.86 0.14 0.99 0.06 ]
[0.41 1.00 0.96 0.87 0.59 0.05 0.24 0.52 0.64 0.48 0.12 0.42 0.86 0.36 0.08 0.67 0.67 0.01 0.90 0.00 0.28 0.25 0.45 0.80 0.89 0.09 0.96 0.74 0.07 0.57 0.53 0.61 0.19 0.32 0.70 0.06 0.43 0.77 0.19 0.01 0.81 0.14 0.32 0.97 0.16 0.52 0.19 0.22 0.31 0.65 0.99 0.94 0.65 0.58 0.39 0.16 0.60 0.44 0.74 0.34 0.60 0.56 0.85 0.98 0.01 0.74 0.32 0.64 0.39 0.40 0.64 0.41 0.64 0.89 0.14 0.39 0.36 0.14 0.47 0.29 0.05 0.15 ]
[0.18 0.96 1.00 0.49 0.85 0.81 0.62 0.44 0.95 0.10 0.76 0.25 0.76 0.74 0.40 0.74 0.69 0.76 0.84 0.38 0.58 0.60 0.71 0.54 0.46 0.92 0.72 0.00 0.01 0.30 0.45 0.25 0.68 0.62 0.42 0.79 0.22 0.43 0.20 0.40 0.99 0.87 0.12 0.74 0.97 0.61 0.77 0.79 0.76 0.98 0.48 0.64 0.00 0.07 0.72 0.99 0.41 0.15 0.77 0.47 0.96 0.56 0.58 0.36 0.58 1.00 0.73 0.11 0.31 0.49 0.67 0.68 0.84 0.63 0.95 0.43 0.75 0.13 0.83 0.01 0.78 0.42 ]
[0.79 0.87 0.49 1.00 1.00 0.52 0.66 0.25 0.64 0.32 0.00 0.27 0.82 0.21 0.12 0.33 0.52 0.26 0.62 0.14 0.89 0.86 0.13 0.21 0.37 0.08 0.53 0.42 0.43 0.15 0.03 0.88 0.30 0.94 0.57 0.83 0.75 0.65 0.06 0.38 0.47 0.25 0.28 0.72 0.08 0.98 0.66 0.77 0.37 0.28 0.61 0.52 0.20 0.37 0.59 0.15 0.53 0.72 0.66 0.32 0.42 0.09 0.65 0.64 0.13 0.03 0.96 0.26 0.71 0.14 0.28 0.32 0.44 0.88 0.68 0.48 0.48 0.36 0.40 0.40 0.97 0.16 ]
[0.90 0.59 0.85 1.00 1.00 0.31 0.57 0.65 0.93 0.12 0.83 0.75 0.54 0.51 0.20 0.15 0.64 0.23 0.58 0.44 0.18 0.40 0.68 0.41 0.77 0.33 0.08 0.61 0.87 0.68 0.19 0.13 0.69 0.20 0.14 0.47 0.59 0.80 0.72 0.59 0.38 0.80 0.74 0.24 0.83 0.40 0.82 0.39 0.01 0.13 0.06 0.85 0.29 0.40 0.25 0.55 0.06 0.53 0.59 0.37 0.71 0.20 0.42 0.99 0.74 0.96 0.56 0.26 0.94 0.58 0.16 0.31 0.67 0.46 0.28 0.53 0.51 0.03 0.02 0.90 0.34 0.67 ]
[0.15 0.05 0.81 0.52 0.31 1.00 0.00 0.83 0.30 0.51 0.25 0.94 0.52 0.75 0.11 0.12 0.53 0.63 0.06 0.96 0.58 0.84 0.80 0.82 0.91 0.84 0.80 0.72 0.02 0.50 0.06 0.43 0.29 0.38 0.63 0.67 0.68 0.07 0.30 0.09 0.80 0.14 0.25 0.20 0.34 0.56 0.66 0.30 0.58 0.05 0.06 0.20 0.41 0.95 0.07 0.73 0.80 0.45 0.38 0.24 0.52 0.88 0.78 0.19 0.86 0.34 0.20 0.21 0.78 0.17 0.37 0.48 0.60 0.51 0.71 0.55 0.49 0.79 0.57 0.22 0.44 0.22 ]
[0.03 0.24 0.62 0.66 0.57 0.00 1.00 0.00 0.67 0.26 0.40 0.85 0.48 0.93 0.90 0.13 0.75 0.92 0.19 0.31 0.52 0.44 0.22 0.03 0.69 0.55 0.79 0.92 0.06 0.85 0.77 0.82 0.19 0.31 0.68 0.61 0.49 0.17 0.68 0.93 0.58 0.91 0.84 0.19 0.72 0.92 0.18 0.14 0.63 0.69 0.80 0.05 0.83 0.65 0.63 0.51 0.94 0.55 0.28 0.64 0.34 0.99 0.29 0.44 0.32 0.63 0.50 0.52 0.13 0.14 0.60 0.80 0.14 0.53 0.27 0.02 0.28 0.94 0.28 0.78 0.94 0.15 ]
[0.40 0.52 0.44 0.25 0.65 0.83 0.00 1.00 0.11 0.91 0.91 0.54 0.62 0.17 0.37 0.73 0.09 0.63 0.61 0.39 0.73 0.68 0.50 0.75 0.30 0.16 0.12 0.35 0.67 0.22 0.88 0.01 0.52 0.61 1.00 0.89 0.86 0.42 0.45 0.40 0.77 0.68 0.04 0.41 0.21 0.44 0.07 0.86 0.34 0.41 0.96 0.48 0.31 0.16 0.42 0.74 0.09 0.76 0.70 0.63 0.59 0.40 0.32 0.71 0.90 0.49 0.75 0.64 0.55 0.75 0.74 0.89 0.94 0.51 0.74 0.38 0.49 0.24 0.15 0.04 0.02 0.67 ]
[1.00 0.64 0.95 0.64 0.93 0.30 0.67 0.11 1.00 0.28 0.95 0.57 0.17 0.59 0.49 0.61 0.41 0.43 0.06 0.84 0.87 0.84 0.88 0.12 0.09 0.32 0.72 0.19 0.01 0.90 0.09 0.31 0.51 0.46 0.04 0.72 0.23 0.61 0.88 0.17 0.52 0.52 0.70 0.63 0.14 0.68 0.46 0.05 0.46 0.91 0.20 0.05 0.23 0.33 0.40 0.96 0.88 0.86 0.32 0.83 0.09 0.50 0.33 0.07 0.45 0.39 0.52 0.97 0.18 0.73 0.61 0.14 0.45 0.74 0.58 0.54 0.56 0.36 0.38 0.14 0.77 0.79 ]
[0.93 0.48 0.10 0.32 0.12 0.51 0.26 0.91 0.28 1.00 0.94 0.20 0.36 0.63 0.42 0.68 0.88 0.19 0.95 0.46 0.29 0.53 0.33 0.53 0.33 0.14 0.78 0.11 0.10 0.86 0.45 0.34 0.47 0.91 0.07 0.73 0.32 0.59 0.19 0.09 0.31 0.34 0.56 0.62 0.78 0.86 0.20 0.72 0.76 0.22 1.00 0.31 0.64 0.89 0.84 0.88 0.11 0.77 0.39 0.05 0.48 0.75 0.84 0.56 0.52 0.26 0.89 0.59 0.66 0.52 0.57 0.26 0.07 0.05 0.16 0.94 0.20 0.43 0.32 0.83 0.26 0.66 ]
