D = 6;
n = [ 3 3 3 3 3 3 ];
N = 55;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.04 0.13 0.74 0.38 0.93 0.27 0.19 0.18 0.45 0.08 0.02 0.89 0.79 0.82 0.90 0.68 0.36 0.62 0.84 0.06 0.65 0.89 0.88 0.05 0.67 0.80 0.28 0.88 0.22 0.92 0.83 0.78 0.29 0.11 0.15 0.22 0.45 0.22 0.94 0.13 0.93 0.24 0.82 0.03 0.02 0.35 0.89 0.67 0.75 0.08 0.74 0.25 0.76 0.01 ]
[0.04 1.00 0.62 0.61 0.56 0.73 0.21 0.02 0.13 0.28 0.17 0.22 0.43 0.36 0.45 0.73 0.64 0.75 0.24 0.57 0.02 0.02 0.42 0.40 0.11 0.62 0.31 0.52 0.76 0.78 0.10 0.25 0.59 0.70 0.44 0.65 0.99 0.25 0.20 0.45 0.87 0.83 0.14 0.27 0.82 0.28 0.58 0.59 0.90 0.23 0.57 0.84 0.57 0.81 0.06 ]
[0.13 0.62 1.00 0.56 0.50 0.42 0.27 0.39 0.27 0.55 0.07 0.37 0.72 0.70 0.21 0.45 0.94 0.19 0.38 0.20 0.47 0.23 0.82 0.16 0.92 0.29 0.79 0.34 0.55 0.97 0.08 0.13 0.40 0.20 0.86 0.21 0.37 0.36 0.50 0.15 0.27 0.45 0.52 0.89 0.13 0.27 0.51 0.48 0.24 0.56 0.52 0.14 0.41 0.95 0.11 ]
[0.74 0.61 0.56 1.00 0.25 0.08 0.88 0.79 0.97 0.08 0.51 0.94 0.46 0.76 0.46 0.97 0.61 0.57 0.49 0.04 0.84 0.29 0.91 0.46 0.65 0.56 0.71 0.53 0.33 0.41 0.91 0.64 0.76 0.23 0.20 0.12 0.63 0.39 0.75 0.65 0.40 0.92 0.04 0.90 0.40 0.64 0.48 0.90 0.45 0.71 0.84 0.44 0.91 0.27 0.20 ]
[0.38 0.56 0.50 0.25 1.00 0.01 0.19 0.12 0.86 0.32 0.25 0.89 0.06 0.95 0.12 0.43 0.78 0.77 0.75 0.75 0.15 0.71 0.58 0.90 0.99 0.73 0.33 0.84 0.15 0.23 0.45 0.72 0.98 0.56 0.94 0.12 0.72 0.52 0.72 0.01 1.00 0.33 0.46 0.92 0.13 0.28 0.40 0.47 0.86 0.31 0.49 0.79 0.15 0.41 0.06 ]
[0.93 0.73 0.42 0.08 0.01 1.00 0.61 0.42 0.80 0.43 0.31 0.02 0.38 0.23 0.62 0.92 0.56 0.80 0.52 0.72 0.50 0.81 0.63 0.58 0.29 0.46 0.23 0.73 0.50 0.60 0.21 0.35 0.76 0.98 0.36 0.17 0.79 0.57 0.42 0.80 0.85 0.81 0.64 0.39 0.24 0.09 0.02 0.85 0.41 0.80 0.73 0.28 0.94 0.16 0.58 ]
[0.27 0.21 0.27 0.88 0.19 0.61 1.00 0.01 0.68 0.14 0.53 0.82 0.52 0.98 0.03 0.54 0.35 0.10 0.04 0.07 0.88 0.55 0.72 0.16 0.97 0.29 0.61 0.99 0.61 0.31 0.76 0.04 0.48 0.05 0.57 0.75 0.92 0.14 0.05 0.93 0.14 0.94 0.71 0.81 0.98 0.24 0.12 0.56 0.78 1.00 0.21 0.58 0.75 0.46 0.34 ]
[0.19 0.02 0.39 0.79 0.12 0.42 0.01 1.00 0.43 0.57 0.11 0.56 0.70 0.48 0.57 0.39 0.81 0.87 0.26 0.67 0.97 0.67 0.96 0.23 0.81 0.84 0.10 0.86 0.74 0.59 0.59 0.58 0.25 0.96 0.22 0.10 0.13 0.83 0.48 0.90 0.69 0.54 0.78 0.95 0.14 0.35 0.30 0.01 0.43 0.96 0.74 0.88 0.20 0.41 0.59 ]
[0.18 0.13 0.27 0.97 0.86 0.80 0.68 0.43 1.00 0.60 0.06 0.96 0.68 0.21 0.54 0.48 0.70 0.28 0.50 0.65 0.32 0.56 0.16 0.06 0.28 0.73 0.32 0.40 0.56 0.84 0.13 0.83 0.59 0.98 0.27 0.33 0.30 0.91 0.44 1.00 0.71 0.43 0.88 0.90 0.92 0.82 0.48 0.43 0.83 0.59 0.67 0.89 0.67 0.05 0.64 ]
[0.45 0.28 0.55 0.08 0.32 0.43 0.14 0.57 0.60 1.00 0.06 0.05 0.59 0.54 0.38 0.69 0.58 0.59 0.60 0.73 0.65 0.56 0.65 0.19 0.36 0.01 0.00 0.38 0.87 0.17 0.39 0.41 0.61 0.19 0.74 0.60 0.21 0.57 0.26 0.08 0.43 0.15 0.02 0.44 0.97 0.77 0.49 0.12 0.38 0.55 0.85 0.93 0.87 0.31 0.20 ]
