D = 6;
n = [ 4 4 4 4 4 4 ];
N = 51;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.11 0.85 0.75 0.99 0.98 0.33 0.01 0.34 0.47 0.67 0.78 0.47 0.31 0.97 0.18 0.61 0.26 0.96 0.65 0.22 0.88 0.81 0.92 0.64 0.45 0.26 0.72 0.07 0.51 0.71 0.29 0.90 0.79 0.22 0.74 0.47 0.39 0.84 0.71 0.27 0.77 0.98 0.49 0.39 0.54 0.59 0.37 0.56 0.64 0.08 ]
[0.11 1.00 0.60 0.62 0.62 0.95 0.01 0.76 0.48 0.77 0.36 0.40 0.24 0.42 1.00 0.24 0.80 0.75 0.66 0.52 0.73 0.30 0.73 0.82 0.27 0.57 0.06 0.46 0.47 0.60 0.75 0.05 0.50 0.17 0.54 0.86 0.41 0.83 0.34 0.70 0.05 0.81 0.01 0.38 0.97 0.38 0.02 0.90 0.72 0.08 0.67 ]
[0.85 0.60 1.00 0.69 0.47 0.86 0.38 0.29 0.04 0.67 0.73 0.95 0.37 0.44 0.34 0.94 0.38 0.25 0.35 0.93 0.50 0.73 0.31 0.53 0.28 0.35 0.74 0.04 0.89 0.57 0.02 0.83 1.00 0.45 0.31 0.50 0.35 0.15 0.09 0.12 0.23 0.80 0.14 0.45 0.96 0.19 0.15 0.82 0.77 0.68 0.74 ]
[0.75 0.62 0.69 1.00 0.96 0.73 0.54 0.96 0.22 0.95 0.06 0.75 0.29 0.13 0.84 0.64 0.47 0.88 0.15 0.08 0.56 0.52 0.24 0.48 0.01 0.75 0.01 0.42 0.09 0.22 0.28 0.97 0.68 0.24 0.10 0.05 0.06 0.05 0.08 0.14 0.11 0.43 0.77 0.06 0.76 0.84 0.82 0.41 0.72 0.31 0.91 ]
[0.99 0.62 0.47 0.96 1.00 0.84 0.99 0.57 0.72 0.35 0.89 0.52 0.14 0.15 0.21 0.30 0.50 0.56 0.87 0.58 0.90 0.65 0.69 0.77 0.20 0.86 0.59 0.23 0.43 0.94 0.95 0.54 0.85 0.26 0.21 0.19 0.92 0.69 0.78 0.76 0.57 0.86 0.13 0.74 0.50 0.33 0.08 0.90 0.15 0.76 0.19 ]
[0.98 0.95 0.86 0.73 0.84 1.00 0.48 0.54 0.47 0.61 0.67 0.87 0.14 0.00 0.69 0.50 0.36 0.56 0.31 0.03 0.72 0.66 0.98 0.82 0.60 0.43 0.02 0.63 0.17 0.19 0.24 0.85 0.60 0.04 0.13 0.60 0.18 0.47 0.29 0.69 0.60 0.32 0.55 0.25 0.15 0.18 0.33 0.50 0.45 0.09 0.63 ]
[0.33 0.01 0.38 0.54 0.99 0.48 1.00 0.97 0.83 0.21 0.33 0.00 0.39 0.80 0.70 0.75 0.26 0.80 0.90 0.53 0.03 0.11 0.70 0.71 0.87 0.57 0.91 0.75 0.85 0.76 0.07 0.60 0.42 0.65 0.96 0.09 0.27 0.99 0.31 0.55 0.41 0.46 0.28 0.97 0.86 0.01 0.45 0.04 0.89 0.34 0.82 ]
[0.01 0.76 0.29 0.96 0.57 0.54 0.97 1.00 0.23 0.52 0.61 0.63 0.00 0.31 0.92 0.43 0.25 0.73 0.99 0.64 0.73 0.09 0.74 0.56 0.68 0.18 0.18 0.76 0.35 0.55 0.39 0.49 0.59 0.39 0.96 0.99 0.60 0.90 0.82 0.92 0.45 0.70 0.34 0.25 0.10 0.82 0.43 0.47 0.26 0.01 0.19 ]
[0.34 0.48 0.04 0.22 0.72 0.47 0.83 0.23 1.00 0.99 0.13 0.61 0.91 0.13 0.10 0.03 0.43 0.37 0.49 0.23 0.15 0.97 0.57 0.09 0.27 0.26 0.01 0.27 0.11 0.68 0.72 0.91 0.95 0.99 0.07 0.78 0.50 0.88 0.87 0.11 0.97 0.34 0.33 0.75 0.62 0.86 0.84 0.64 0.76 0.05 0.37 ]
[0.47 0.77 0.67 0.95 0.35 0.61 0.21 0.52 0.99 1.00 0.52 0.46 0.70 0.25 0.01 0.18 0.48 0.96 0.70 0.70 0.95 0.51 0.51 0.39 0.28 0.84 0.71 0.91 0.72 0.12 0.06 0.75 0.58 0.19 0.92 0.51 0.85 0.59 0.89 0.43 0.97 0.98 0.06 0.97 0.34 0.97 0.36 0.35 0.80 0.84 0.12 ]
