D = 6;
n = [ 5 5 5 5 5 5 ];
N = 36;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 ];
m = [
[1.00 0.13 0.66 0.56 0.35 0.22 0.57 0.30 0.93 0.08 0.98 0.76 0.05 0.45 0.94 0.89 0.54 0.96 0.20 0.98 0.96 0.89 0.06 0.86 0.28 0.57 0.12 0.38 0.56 0.61 0.97 0.03 0.70 0.79 0.52 0.42 ]
[0.13 1.00 0.25 0.27 0.73 0.10 0.59 0.54 0.14 0.36 0.46 0.17 0.34 0.18 0.59 0.23 0.45 0.20 0.55 0.22 0.21 0.99 0.85 0.24 0.35 0.46 0.36 0.58 0.19 0.73 0.62 0.07 0.73 0.48 0.19 0.42 ]
[0.66 0.25 1.00 0.33 0.86 0.61 0.67 0.58 0.49 0.59 0.47 0.67 0.92 0.36 0.79 0.32 0.29 0.51 0.21 0.69 0.72 0.86 0.85 0.37 0.76 0.01 0.28 0.16 0.46 0.68 0.87 0.12 0.45 0.14 0.54 0.40 ]
[0.56 0.27 0.33 1.00 0.71 0.96 0.73 0.82 0.18 0.53 0.23 0.68 0.85 0.96 0.17 1.00 0.39 0.92 0.99 0.19 0.12 0.66 0.69 0.47 0.56 0.81 0.72 0.37 0.26 0.21 0.88 0.29 0.60 0.29 0.20 0.36 ]
[0.35 0.73 0.86 0.71 1.00 0.38 0.77 0.39 0.67 0.44 0.02 0.45 0.33 0.24 0.84 0.15 0.82 0.67 0.65 0.05 0.56 0.54 0.27 0.43 0.09 0.07 0.14 0.37 0.56 0.81 0.40 0.42 0.25 0.41 0.16 0.61 ]
[0.22 0.10 0.61 0.96 0.38 1.00 0.46 0.75 0.39 0.80 0.80 0.79 0.19 0.43 0.21 0.41 0.13 0.64 0.83 0.96 0.47 0.29 0.55 0.82 0.57 0.90 0.21 0.73 0.11 0.60 0.18 0.66 0.28 0.76 0.00 0.92 ]
[0.57 0.59 0.67 0.73 0.77 0.46 1.00 0.07 0.74 0.28 0.17 0.37 0.21 0.04 0.31 0.63 0.72 0.75 0.50 0.25 0.24 0.99 0.65 0.84 0.06 0.88 0.25 0.36 0.74 0.32 0.20 0.69 0.31 0.83 0.10 0.63 ]
[0.30 0.54 0.58 0.82 0.39 0.75 0.07 1.00 0.65 0.07 0.79 0.62 0.01 0.03 0.75 0.12 0.17 0.38 0.56 0.75 0.33 0.60 0.83 0.70 0.45 0.45 0.83 0.96 0.46 0.04 0.27 0.71 0.56 0.05 0.76 0.67 ]
[0.93 0.14 0.49 0.18 0.67 0.39 0.74 0.65 1.00 0.70 0.92 0.87 0.93 0.25 0.75 0.79 0.07 0.55 0.30 0.82 0.58 0.30 0.90 0.54 0.20 0.26 0.63 0.51 0.58 0.64 0.40 0.69 0.96 0.13 0.65 0.61 ]
[0.08 0.36 0.59 0.53 0.44 0.80 0.28 0.07 0.70 1.00 0.03 0.95 0.06 0.58 0.51 0.41 0.31 0.77 0.84 0.37 0.55 0.02 0.84 0.19 0.93 0.99 0.25 0.36 0.50 0.97 0.31 0.67 0.25 0.55 0.74 0.03 ]
