D = 6;
n = [ 5 5 5 5 5 5 ];
N = 60;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.65 0.80 0.28 0.59 0.23 0.74 0.28 0.09 0.31 0.08 0.22 0.32 0.54 0.25 0.91 0.82 0.08 0.83 1.00 0.20 0.18 0.07 0.86 0.03 0.12 0.79 0.45 0.16 0.30 0.48 0.98 0.91 0.40 0.41 0.66 0.66 0.92 0.06 0.87 0.32 0.91 0.24 0.72 0.64 0.94 0.77 0.60 0.59 0.78 0.78 0.80 0.21 0.42 0.97 0.65 0.35 0.56 0.29 0.83 ]
[0.65 1.00 0.36 0.21 0.21 0.31 0.45 0.79 0.05 0.24 0.55 0.95 0.52 0.12 0.16 0.92 0.29 0.38 0.20 0.96 0.95 0.30 0.51 0.47 0.21 0.17 0.05 0.62 0.04 0.04 0.01 0.45 0.82 0.77 0.77 0.79 0.27 0.25 0.52 0.83 0.62 0.07 0.25 0.75 0.29 0.09 0.84 0.93 0.09 0.80 0.97 0.68 0.68 0.96 0.62 0.57 0.38 0.11 0.16 0.92 ]
[0.80 0.36 1.00 0.90 0.87 0.35 0.58 0.05 0.96 0.81 0.87 0.74 0.48 0.22 0.49 0.71 0.03 0.86 0.49 0.89 0.39 0.68 0.80 0.96 0.35 1.00 0.86 0.31 0.55 0.11 0.42 0.04 0.87 0.23 0.23 0.96 0.12 0.12 0.33 1.00 0.59 0.44 0.89 0.54 0.40 0.27 0.14 0.30 0.36 0.13 0.76 0.38 0.78 0.06 0.45 0.55 0.54 0.59 0.66 0.81 ]
[0.28 0.21 0.90 1.00 0.75 0.06 0.71 0.55 0.78 0.97 0.81 0.25 0.78 0.17 0.38 0.81 0.31 0.57 0.85 0.27 0.41 0.11 0.76 0.57 0.06 0.45 0.09 0.75 0.06 0.99 0.41 0.58 0.25 0.33 0.17 0.09 0.51 0.16 0.54 0.81 0.89 0.44 0.37 0.60 0.82 0.90 0.18 0.55 0.87 0.43 0.64 0.70 0.80 0.50 0.12 0.06 0.58 0.75 0.27 0.07 ]
[0.59 0.21 0.87 0.75 1.00 0.47 0.56 0.40 0.11 0.67 0.63 0.61 0.68 0.62 0.57 0.28 0.39 0.62 0.55 0.91 0.12 0.12 0.55 0.56 0.65 0.65 0.73 0.39 0.46 0.56 0.22 0.93 0.41 0.13 0.83 0.63 0.02 0.65 0.46 0.10 0.44 0.72 0.76 0.64 0.98 0.42 0.19 0.33 0.85 0.71 0.37 0.05 0.47 0.96 0.26 0.70 0.62 0.04 0.32 0.07 ]
[0.23 0.31 0.35 0.06 0.47 1.00 0.65 0.32 0.21 0.36 0.57 0.34 0.80 0.90 0.94 0.15 0.91 0.76 0.76 0.86 0.82 0.08 0.60 0.30 0.11 0.58 0.27 0.54 0.68 0.73 0.35 0.77 0.51 0.94 0.58 0.56 0.81 0.08 0.68 0.12 0.43 0.46 0.84 0.78 0.73 0.49 0.11 0.01 0.55 0.23 0.01 0.89 0.18 0.93 0.08 0.92 0.67 0.31 0.31 0.89 ]
[0.74 0.45 0.58 0.71 0.56 0.65 1.00 0.36 0.68 0.09 0.34 0.10 0.23 0.05 0.77 0.94 0.29 0.63 0.90 0.26 0.03 0.97 0.13 0.81 0.36 0.28 0.93 0.92 0.51 0.10 0.75 0.74 0.91 0.01 0.68 0.96 0.93 0.52 0.51 0.14 0.56 0.43 0.55 0.45 0.97 0.06 0.26 0.91 0.64 0.36 0.85 0.97 0.15 0.66 0.14 0.40 0.57 0.60 0.77 0.33 ]
[0.28 0.79 0.05 0.55 0.40 0.32 0.36 1.00 0.58 0.32 0.25 0.75 0.40 0.08 0.35 0.94 0.01 0.58 0.60 0.19 0.09 0.19 0.80 0.52 0.22 0.50 0.94 0.17 0.77 0.76 0.08 0.94 0.44 0.49 0.37 0.25 0.48 0.05 0.40 0.33 0.60 0.60 0.36 0.87 0.95 0.06 0.54 0.60 0.83 1.00 0.33 0.66 0.57 0.67 0.18 0.58 0.08 0.31 0.91 0.88 ]
[0.09 0.05 0.96 0.78 0.11 0.21 0.68 0.58 1.00 0.19 0.39 0.17 0.76 0.91 0.55 0.31 0.76 0.81 0.33 0.07 0.31 0.80 0.08 0.21 0.64 0.26 0.30 0.83 0.85 0.94 0.24 1.00 0.85 0.77 0.54 0.53 0.11 0.98 0.02 0.58 0.09 0.43 0.69 0.34 0.91 0.62 0.18 0.84 0.09 0.92 0.90 0.64 0.31 0.09 0.62 0.58 0.26 0.25 0.94 0.33 ]
[0.31 0.24 0.81 0.97 0.67 0.36 0.09 0.32 0.19 1.00 0.05 0.20 0.05 0.59 0.97 0.32 0.87 0.02 0.65 0.56 0.77 0.07 0.69 0.81 0.95 0.27 0.42 0.70 0.48 0.42 0.83 0.75 0.66 0.57 0.73 0.42 0.57 0.70 0.08 0.42 0.20 0.19 0.05 0.71 0.69 0.77 0.90 0.78 0.78 0.96 0.29 0.99 0.72 0.56 0.59 0.92 0.78 0.49 0.83 0.87 ]
[0.08 0.55 0.87 0.81 0.63 0.57 0.34 0.25 0.39 0.05 1.00 0.56 0.39 0.77 0.28 0.23 0.26 0.41 0.31 0.52 0.80 0.17 0.85 0.67 0.71 0.73 0.73 0.20 0.67 0.29 0.33 0.90 0.34 0.61 0.62 0.45 0.35 0.85 0.66 0.11 0.71 0.36 0.78 0.60 0.38 0.13 0.50 0.07 0.29 0.44 0.88 0.40 0.13 0.79 0.13 0.91 0.35 0.86 0.67 0.56 ]
[0.22 0.95 0.74 0.25 0.61 0.34 0.10 0.75 0.17 0.20 0.56 1.00 0.20 0.69 0.17 0.68 0.04 0.85 0.29 0.14 0.59 0.44 0.13 0.19 0.94 0.81 0.29 0.61 0.95 0.31 0.98 0.02 0.01 0.25 0.69 0.15 0.91 0.60 0.32 0.16 0.64 0.25 0.25 0.55 0.03 0.60 0.78 0.10 0.01 0.14 0.77 0.72 0.02 0.16 0.79 0.94 0.10 0.74 0.45 0.91 ]
[0.32 0.52 0.48 0.78 0.68 0.80 0.23 0.40 0.76 0.05 0.39 0.20 1.00 0.93 0.81 0.75 0.23 0.15 0.36 0.39 0.09 0.05 0.17 0.10 0.01 0.33 0.98 0.56 0.34 0.32 0.83 0.01 0.28 0.86 0.14 0.59 0.30 0.29 0.30 0.78 0.67 0.89 0.05 0.09 0.84 0.40 0.66 0.53 0.89 0.90 0.02 0.46 0.23 0.46 0.33 0.12 0.81 0.78 0.51 0.88 ]
