D = 2;
n = [ 5 5 ];
N = 20;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.95 0.42 0.22 0.59 0.38 0.56 0.07 0.81 0.52 0.20 0.08 0.06 0.14 0.50 0.69 0.70 0.36 0.67 0.85 ]
[0.95 1.00 0.80 0.94 0.65 0.46 0.48 0.37 0.39 0.48 0.13 0.60 0.28 0.68 0.24 0.46 0.43 0.51 0.85 0.40 ]
[0.42 0.80 1.00 0.55 0.89 0.98 0.52 0.45 0.03 0.18 0.98 0.31 0.34 0.58 0.22 0.82 0.39 0.61 0.55 0.68 ]
[0.22 0.94 0.55 1.00 0.70 0.32 0.58 0.43 0.46 0.10 0.55 0.19 0.73 0.91 0.69 0.50 0.34 0.35 0.49 0.29 ]
[0.59 0.65 0.89 0.70 1.00 0.26 0.10 0.46 0.78 0.53 0.78 0.14 0.60 0.21 0.88 0.42 0.20 0.46 0.48 0.92 ]
[0.38 0.46 0.98 0.32 0.26 1.00 0.32 0.01 0.97 0.14 0.86 0.32 0.28 0.47 0.42 0.38 0.11 0.41 0.02 0.83 ]
[0.56 0.48 0.52 0.58 0.10 0.32 1.00 0.70 0.40 0.05 0.25 0.17 0.47 0.38 0.89 0.20 0.14 0.66 0.40 0.32 ]
[0.07 0.37 0.45 0.43 0.46 0.01 0.70 1.00 0.06 0.30 0.32 0.66 0.52 0.38 0.10 0.17 0.42 0.79 0.57 0.42 ]
[0.81 0.39 0.03 0.46 0.78 0.97 0.40 0.06 1.00 0.64 0.18 0.37 0.74 0.10 0.53 0.40 0.27 0.15 0.13 0.70 ]
[0.52 0.48 0.18 0.10 0.53 0.14 0.05 0.30 0.64 1.00 0.61 0.22 0.05 0.09 0.06 0.50 0.09 0.52 0.58 0.35 ]
[0.20 0.13 0.98 0.55 0.78 0.86 0.25 0.32 0.18 0.61 1.00 0.79 0.02 0.18 0.38 0.84 0.20 0.82 0.72 0.46 ]
[0.08 0.60 0.31 0.19 0.14 0.32 0.17 0.66 0.37 0.22 0.79 1.00 0.75 0.71 0.68 0.45 0.09 0.36 0.31 0.58 ]
[0.06 0.28 0.34 0.73 0.60 0.28 0.47 0.52 0.74 0.05 0.02 0.75 1.00 0.81 0.57 0.14 0.62 0.45 0.15 0.48 ]
[0.14 0.68 0.58 0.91 0.21 0.47 0.38 0.38 0.10 0.09 0.18 0.71 0.81 1.00 0.34 0.32 0.59 0.36 0.45 0.35 ]
[0.50 0.24 0.22 0.69 0.88 0.42 0.89 0.10 0.53 0.06 0.38 0.68 0.57 0.34 1.00 0.98 0.97 0.44 0.26 0.19 ]
[0.69 0.46 0.82 0.50 0.42 0.38 0.20 0.17 0.40 0.50 0.84 0.45 0.14 0.32 0.98 1.00 0.37 0.01 0.04 0.05 ]
[0.70 0.43 0.39 0.34 0.20 0.11 0.14 0.42 0.27 0.09 0.20 0.09 0.62 0.59 0.97 0.37 1.00 0.71 0.29 0.55 ]
[0.36 0.51 0.61 0.35 0.46 0.41 0.66 0.79 0.15 0.52 0.82 0.36 0.45 0.36 0.44 0.01 0.71 1.00 0.43 0.64 ]
[0.67 0.85 0.55 0.49 0.48 0.02 0.40 0.57 0.13 0.58 0.72 0.31 0.15 0.45 0.26 0.04 0.29 0.43 1.00 0.17 ]
[0.85 0.40 0.68 0.29 0.92 0.83 0.32 0.42 0.70 0.35 0.46 0.58 0.48 0.35 0.19 0.05 0.55 0.64 0.17 1.00 ]
];
