D = 2;
n = [ 5 5 ];
N = 57;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.02 0.28 0.07 0.71 0.39 0.59 0.48 0.18 0.44 0.76 0.42 0.89 0.97 0.54 0.35 0.77 0.02 0.99 0.17 0.94 0.38 0.19 0.50 0.74 0.99 0.11 0.72 0.35 0.48 0.80 0.52 0.82 0.55 0.14 0.45 0.21 0.76 0.37 0.40 0.62 0.62 0.12 0.63 0.83 0.16 0.12 0.68 0.17 0.87 0.17 0.28 0.29 0.00 0.14 0.72 0.55 ]
[0.02 1.00 0.39 0.02 0.42 0.78 0.34 0.10 0.02 0.09 0.96 0.44 0.57 0.74 0.01 0.97 0.35 0.40 0.73 0.36 0.86 0.38 0.30 0.80 0.05 0.91 0.85 0.74 0.62 0.11 0.57 0.07 0.01 0.02 0.95 0.85 0.01 0.43 0.08 0.38 0.54 0.80 0.07 0.41 0.16 0.79 0.97 0.20 0.32 0.40 0.28 0.61 0.40 0.20 0.64 0.08 0.12 ]
[0.28 0.39 1.00 0.32 0.09 0.64 0.84 0.14 0.60 0.13 0.67 0.01 0.97 0.71 0.45 0.70 0.71 0.78 0.68 0.87 0.83 0.27 0.58 0.01 0.80 0.73 0.24 0.55 0.47 0.59 0.41 0.76 0.79 0.89 0.70 0.78 0.69 0.27 0.77 0.35 0.75 0.90 0.18 0.05 0.87 0.89 0.32 0.93 0.93 0.78 0.81 0.68 0.44 0.81 0.48 0.15 0.21 ]
[0.07 0.02 0.32 1.00 0.23 0.46 0.22 0.55 0.38 0.82 0.24 0.93 0.89 0.44 0.90 0.94 0.27 0.22 0.18 0.17 0.86 0.93 0.86 0.28 0.09 0.97 0.58 0.75 0.58 0.25 0.60 0.10 0.51 0.09 0.20 0.31 0.31 0.44 0.95 0.49 0.10 0.81 0.06 0.79 0.19 0.84 0.04 0.94 0.52 0.07 0.75 0.26 0.88 0.30 0.60 0.05 0.05 ]
[0.71 0.42 0.09 0.23 1.00 0.59 0.46 0.41 0.53 0.11 0.03 0.10 0.64 0.11 0.43 0.26 0.36 0.33 0.85 0.28 0.50 0.08 0.63 0.96 0.21 0.79 0.37 0.59 0.87 0.28 0.75 0.15 0.56 0.13 0.09 0.82 0.09 0.10 0.71 0.74 0.00 0.18 0.23 0.74 0.26 0.11 0.15 0.31 0.57 0.35 0.66 0.00 0.72 0.90 0.22 0.80 0.07 ]
[0.39 0.78 0.64 0.46 0.59 1.00 0.80 0.24 0.68 0.06 0.60 0.71 0.42 0.29 1.00 0.90 0.50 0.58 0.31 0.54 0.05 0.20 0.87 0.78 0.01 0.19 0.50 0.59 0.77 0.85 0.49 0.09 0.76 0.01 0.33 0.25 0.68 0.17 0.06 0.70 0.01 0.53 0.15 0.82 0.76 0.77 0.62 0.55 0.07 0.87 0.82 0.96 0.43 0.04 0.64 0.41 0.03 ]
[0.59 0.34 0.84 0.22 0.46 0.80 1.00 0.01 0.17 0.51 0.11 0.27 0.01 0.18 0.61 0.81 0.35 0.99 0.67 0.63 0.55 0.02 0.47 0.55 0.63 0.67 0.26 0.72 0.16 0.92 0.79 0.64 0.18 0.21 0.52 0.13 0.70 0.24 0.29 0.21 0.18 0.57 0.35 0.85 0.35 0.41 0.01 0.78 0.84 0.72 0.02 0.67 0.85 0.38 0.57 0.90 0.70 ]
[0.48 0.10 0.14 0.55 0.41 0.24 0.01 1.00 0.31 0.85 0.91 0.40 0.00 0.39 0.70 0.86 0.39 0.49 0.33 0.99 0.77 0.87 0.30 0.64 0.81 0.17 0.58 0.69 0.04 0.67 0.47 0.24 0.09 0.38 0.17 0.71 0.68 0.59 0.65 0.17 0.71 0.51 0.75 0.69 0.41 0.55 0.12 0.06 0.36 0.38 0.13 0.69 0.65 0.13 0.76 0.06 0.52 ]
[0.18 0.02 0.60 0.38 0.53 0.68 0.17 0.31 1.00 0.63 0.69 0.23 0.34 0.62 0.90 0.98 0.03 0.24 0.89 0.37 0.96 0.12 0.02 0.98 0.70 0.42 0.47 0.80 0.95 0.86 0.51 0.47 0.47 0.65 0.91 0.35 0.15 0.36 0.62 0.49 0.21 0.55 0.24 0.87 0.01 0.86 0.30 0.18 0.37 0.59 0.33 0.83 0.50 0.40 0.42 0.14 0.93 ]
[0.44 0.09 0.13 0.82 0.11 0.06 0.51 0.85 0.63 1.00 0.81 0.23 0.08 0.65 0.81 0.44 0.90 0.99 0.44 0.54 0.25 0.81 0.35 0.90 0.25 0.89 0.11 0.34 0.61 0.74 0.45 0.09 0.10 0.38 0.71 0.17 0.31 0.63 0.59 0.60 0.91 0.21 0.53 0.97 0.82 0.20 0.71 0.56 0.33 0.93 0.69 0.03 0.93 0.78 0.18 0.47 0.61 ]
[0.76 0.96 0.67 0.24 0.03 0.60 0.11 0.91 0.69 0.81 1.00 0.67 0.30 0.75 0.37 0.48 0.01 0.04 0.58 0.34 0.39 0.43 0.32 0.01 0.42 0.76 0.98 0.42 0.26 0.59 0.32 0.19 0.35 0.59 0.86 0.26 0.08 0.57 0.94 0.91 0.58 0.82 0.31 0.79 0.39 0.29 0.82 0.96 0.82 0.19 0.16 0.82 0.42 0.26 0.16 0.01 0.57 ]
[0.42 0.44 0.01 0.93 0.10 0.71 0.27 0.40 0.23 0.23 0.67 1.00 0.56 0.73 0.87 0.80 0.10 0.52 0.58 0.18 0.13 0.26 0.93 0.74 0.36 0.34 0.22 0.10 0.65 0.76 0.33 0.96 0.29 0.76 0.54 0.58 0.37 0.66 0.66 0.50 0.24 0.69 0.58 0.67 0.40 0.79 0.70 0.25 0.92 0.11 0.09 0.38 0.01 0.38 0.37 0.42 0.88 ]
